keggID	kegg_pathway_name
R04741	Fatty acid elongation;Fatty acid degradation;Fatty acid metabolism
R04745	Fatty acid elongation;Fatty acid degradation;Fatty acid metabolism
R04170	Fatty acid elongation;Fatty acid degradation;Fatty acid metabolism
R04746	Fatty acid elongation;Fatty acid degradation;Fatty acid metabolism
R05595	NA
R01194	Galactose metabolism
R00731	Tyrosine metabolism;Isoquinoline alkaloid biosynthesis;Betalain biosynthesis;Biosynthesis of secondary metabolites
R02383	Isoquinoline alkaloid biosynthesis;Biosynthesis of secondary metabolites
R01036	Glycerolipid metabolism
R01093	Galactose metabolism
R01758	Pentose and glucuronate interconversions
R01787	Fructose and mannose metabolism
R02531	NA
R02259	NA
R01887	Cyanoamino acid metabolism
R03542	Cyanoamino acid metabolism
R05576	NA
R07013	Metabolism of xenobiotics by cytochrome P450
R07014	Metabolism of xenobiotics by cytochrome P450
R07082	Metabolism of xenobiotics by cytochrome P450
R09417	Metabolism of xenobiotics by cytochrome P450
R10619	Galactose metabolism
R02662	Valine, leucine and isoleucine degradation
R04097	Valine, leucine and isoleucine degradation
R06200	NA
R02566	Glycine, serine and threonine metabolism
R09420	Metabolism of xenobiotics by cytochrome P450
R06154	NA
R04762	Steroid hormone biosynthesis
R04764	Steroid hormone biosynthesis
R04809	Primary bile acid biosynthesis
R04812	Primary bile acid biosynthesis
R04813	Primary bile acid biosynthesis
R01769	Purine metabolism
R09672	NA
R01520	Pentose phosphate pathway;Microbial metabolism in diverse environments;Carbon metabolism
R01521	Pentose phosphate pathway;Microbial metabolism in diverse environments;Carbon metabolism
R01754	Amino sugar and nucleotide sugar metabolism
R10177	NA
R08260	Drug metabolism - other enzymes
R07066	Metabolism of xenobiotics by cytochrome P450
R07068	Metabolism of xenobiotics by cytochrome P450
R07599	Valine, leucine and isoleucine degradation
R07600	Valine, leucine and isoleucine degradation
R07601	Valine, leucine and isoleucine degradation
R07602	Valine, leucine and isoleucine degradation
R07603	Valine, leucine and isoleucine degradation
R07604	Valine, leucine and isoleucine degradation
R01678	Galactose metabolism
R03566	Toluene degradation;Microbial metabolism in diverse environments
R00924	beta-Alanine metabolism
R04095	Valine, leucine and isoleucine degradation
R05700	Phenylpropanoid biosynthesis
R05701	Phenylpropanoid biosynthesis
R07441	Phenylpropanoid biosynthesis
R01100	NA
R00357	Alanine, aspartate and glutamate metabolism
R00648	Cysteine and methionine metabolism
R00677	Tryptophan metabolism
R02197	Valine, leucine and isoleucine degradation
R05681	Vitamin B6 metabolism
R07406	Vitamin B6 metabolism
R00922	Valine, leucine and isoleucine degradation
R00935	Propanoate metabolism
R05624	NA
R02391	Porphyrin and chlorophyll metabolism;Biosynthesis of secondary metabolites
R02393	Porphyrin and chlorophyll metabolism;Biosynthesis of secondary metabolites
R09520	Riboflavin metabolism
R07015	Metabolism of xenobiotics by cytochrome P450
R06574	Phenylpropanoid biosynthesis;Biosynthesis of secondary metabolites
R06575	Phenylpropanoid biosynthesis;Biosynthesis of secondary metabolites
R06577	Phenylpropanoid biosynthesis;Biosynthesis of secondary metabolites
R03286	Histidine metabolism;beta-Alanine metabolism
R07498	Steroid biosynthesis
R07507	Steroid biosynthesis
R01176	Butanoate metabolism
R08259	Drug metabolism - other enzymes
R01166	Histidine metabolism;beta-Alanine metabolism
R01992	Arginine and proline metabolism
R03307	Benzoate degradation;Microbial metabolism in diverse environments;Degradation of aromatic compounds
R01941	Phenylpropanoid biosynthesis;Biosynthesis of secondary metabolites
R06569	Phenylpropanoid biosynthesis;Biosynthesis of secondary metabolites
R01172	Butanoate metabolism;Microbial metabolism in diverse environments
R09408	Metabolism of xenobiotics by cytochrome P450
R01451	Steroid biosynthesis
R01989	Arginine and proline metabolism
R08056	Ascorbate and aldarate metabolism
R03191	Amino sugar and nucleotide sugar metabolism;Peptidoglycan biosynthesis
R08125	NA
R10717	Propanoate metabolism
R06570	Phenylpropanoid biosynthesis;Biosynthesis of secondary metabolites
R06571	Phenylpropanoid biosynthesis;Biosynthesis of secondary metabolites
R03048	Retinol metabolism
R00789	Nitrogen metabolism;Microbial metabolism in diverse environments
R01098	Galactose metabolism
R02886	Starch and sucrose metabolism
R07676	Pentose and glucuronate interconversions;Ascorbate and aldarate metabolism
R02296	Pyrimidine metabolism
R03470	Benzoate degradation;Microbial metabolism in diverse environments;Degradation of aromatic compounds
R08385	Retinol metabolism
R10565	Pentose and glucuronate interconversions
R02517	Styrene degradation;Microbial metabolism in diverse environments
R01701
R01702
R03871	Valine, leucine and isoleucine degradation
R04225	Biosynthesis of secondary metabolites
R04904	Tryptophan metabolism
R08384	Retinol metabolism
R10356	Indole diterpene alkaloid biosynthesis;Biosynthesis of secondary metabolites
R10357	Indole diterpene alkaloid biosynthesis;Biosynthesis of secondary metabolites
R10371	Indole diterpene alkaloid biosynthesis;Biosynthesis of secondary metabolites
R07346	Fructose and mannose metabolism
R00801	Galactose metabolism;Starch and sucrose metabolism
R10998	Propanoate metabolism
R00647	Ascorbate and aldarate metabolism
R03184	Ascorbate and aldarate metabolism
R10996	Propanoate metabolism
R10997	Propanoate metabolism
R00068	Ascorbate and aldarate metabolism
R00761	Carbon fixation in photosynthetic organisms;Microbial metabolism in diverse environments
R00765	Amino sugar and nucleotide sugar metabolism
R08704	Amino sugar and nucleotide sugar metabolism
R08935	Polyketide sugar unit biosynthesis;Biosynthesis of antibiotics
R00558	Arginine and proline metabolism
R00944	Glyoxylate and dicarboxylate metabolism;One carbon pool by folate
R10788	Fructose and mannose metabolism;Microbial metabolism in diverse environments
R10995	Fructose and mannose metabolism;Microbial metabolism in diverse environments
R08014	Nitrotoluene degradation;Microbial metabolism in diverse environments
R08017	Nitrotoluene degradation;Microbial metabolism in diverse environments
R11310	Starch and sucrose metabolism
R10661	Staurosporine biosynthesis;Biosynthesis of antibiotics
