complex type	sequence id	index	ortholog
Ino80 complex	Schizosaccharomyces_pombe@Seq_4269	121_4268	OG3922
Ino80 complex	Schizosaccharomyces_pombe@Seq_4553	121_4552	OG2549
Ino80 complex	Schizosaccharomyces_pombe@Seq_4996	121_4995	OG2601
Ino80 complex	Schizosaccharomyces_pombe@Seq_5097	121_5096	OG4208
Ino80 complex	Schizosaccharomyces_pombe@Seq_561	121_560	OG2366
Ku70:Ku80 complex	Schizosaccharomyces_pombe@Seq_1727	121_1726	OG3527
Ku70:Ku80 complex	Schizosaccharomyces_pombe@Seq_3796	121_3795	OG2349
Las1 complex	Schizosaccharomyces_pombe@Seq_2883	121_2882	OG4632
Las1 complex	Schizosaccharomyces_pombe@Seq_3464	121_3463	OG1872
Las1 complex	Schizosaccharomyces_pombe@Seq_3972	121_3971	OG2994
Las1 complex	Schizosaccharomyces_pombe@Seq_588	121_587	OG1701
Lid2 complex	Schizosaccharomyces_pombe@Seq_151	121_150	OG4049
Lid2 complex	Schizosaccharomyces_pombe@Seq_2599	121_2598	OG4541
Lid2 complex	Schizosaccharomyces_pombe@Seq_2637	121_2636	OG74837
Lid2 complex	Schizosaccharomyces_pombe@Seq_4914	121_4913	OG2555
Lid2 complex	Schizosaccharomyces_pombe@Seq_781	121_780	OG1678
Lsd1/2 complex	Schizosaccharomyces_pombe@Seq_1278	121_1277	OG6838
Lsd1/2 complex	Schizosaccharomyces_pombe@Seq_3020	121_3019	OG8104
Lsd1/2 complex	Schizosaccharomyces_pombe@Seq_3264	121_3263	OG8104
Lsd1/2 complex	Schizosaccharomyces_pombe@Seq_4195	121_4194	OG6838
Lsm2-8 complex	Schizosaccharomyces_pombe@Seq_1875	121_1874	OG4588
Lsm2-8 complex	Schizosaccharomyces_pombe@Seq_2440	121_2439	OG3632
Lsm2-8 complex	Schizosaccharomyces_pombe@Seq_3213	121_3212	OG3758
Lsm2-8 complex	Schizosaccharomyces_pombe@Seq_3243	121_3242	OG3888
Lsm2-8 complex	Schizosaccharomyces_pombe@Seq_4298	121_4297	OG2153
Lsm2-8 complex	Schizosaccharomyces_pombe@Seq_4354	121_4353	OG4593
Lsm2-8 complex	Schizosaccharomyces_pombe@Seq_4368	121_4367	OG4421
Lst4-Lst7 complex	Schizosaccharomyces_pombe@Seq_2855	121_2854	OG3915
Lst4-Lst7 complex	Schizosaccharomyces_pombe@Seq_31	121_30	OG201556
M/G1 phase-specific MADS box-forkhead transcription factor complex	Schizosaccharomyces_pombe@Seq_1757	121_1756	OG1336
M/G1 phase-specific MADS box-forkhead transcription factor complex	Schizosaccharomyces_pombe@Seq_3678	121_3677	OG212529
M/G1 phase-specific MADS box-forkhead transcription factor complex	Schizosaccharomyces_pombe@Seq_760	121_759	OG4486
MBF transcription complex	Schizosaccharomyces_pombe@Seq_1356	121_1355	OG2991
MBF transcription complex	Schizosaccharomyces_pombe@Seq_2556	121_2555	OG2185
MBF transcription complex	Schizosaccharomyces_pombe@Seq_3021	121_3020	OG2991
MBF transcription complex	Schizosaccharomyces_pombe@Seq_4124	121_4123	OG204726
MCM complex	Schizosaccharomyces_pombe@Seq_1298	121_1297	OG2191
MCM complex	Schizosaccharomyces_pombe@Seq_2292	121_2291	OG2003
MCM complex	Schizosaccharomyces_pombe@Seq_3855	121_3854	OG1049
MCM complex	Schizosaccharomyces_pombe@Seq_4301	121_4300	OG2001
MCM complex	Schizosaccharomyces_pombe@Seq_4797	121_4796	OG1893
MCM complex	Schizosaccharomyces_pombe@Seq_930	121_929	OG2034
MCM core complex	Schizosaccharomyces_pombe@Seq_1298	121_1297	OG2191
MCM core complex	Schizosaccharomyces_pombe@Seq_2292	121_2291	OG2003
MCM core complex	Schizosaccharomyces_pombe@Seq_930	121_929	OG2034
MIB complex	Schizosaccharomyces_pombe@Seq_3268	121_3267	OG22693
MICOS complex	Schizosaccharomyces_pombe@Seq_1343	121_1342	OG3620
MICOS complex	Schizosaccharomyces_pombe@Seq_2585	121_2584	OG3005
MICOS complex	Schizosaccharomyces_pombe@Seq_332	121_331	OG2796
MICOS complex	Schizosaccharomyces_pombe@Seq_3852	121_3851	OG2907
MLL3/4 complex	Schizosaccharomyces_pombe@Seq_2599	121_2598	OG4541
MTREC complex	Schizosaccharomyces_pombe@Seq_1701	121_1700	OG1036
MTREC complex	Schizosaccharomyces_pombe@Seq_4748	121_4747	OG195071
MUB1-RAD6-UBR2 ubiquitin ligase complex	Schizosaccharomyces_pombe@Seq_4169	121_4168	OG2911
MWP complex	Schizosaccharomyces_pombe@Seq_4253	121_4252	OG222795
MWP complex	Schizosaccharomyces_pombe@Seq_4439	121_4438	OG1583
MWP complex	Schizosaccharomyces_pombe@Seq_4531	121_4530	OG7856
Mcs4 RR-MAPKKK complex	Schizosaccharomyces_pombe@Seq_1167	121_1166	OG3235
Mcs4 RR-MAPKKK complex	Schizosaccharomyces_pombe@Seq_206	121_205	OG1145
Mcs4 RR-MAPKKK complex	Schizosaccharomyces_pombe@Seq_2353	121_2352	OG1373
Mcs4 RR-MAPKKK complex	Schizosaccharomyces_pombe@Seq_3564	121_3563	OG2642
Mcs4 RR-MAPKKK complex	Schizosaccharomyces_pombe@Seq_885	121_884	OG1373
Mei2 nuclear dot complex	Schizosaccharomyces_pombe@Seq_40	121_39	OG2800
Mei2 nuclear dot complex	Schizosaccharomyces_pombe@Seq_4429	121_4428	OG215642
Mei2 nuclear dot complex	Schizosaccharomyces_pombe@Seq_626	121_625	OG5522
Mis6-Sim4 complex	Schizosaccharomyces_pombe@Seq_1510	121_1509	OG155844
Mis6-Sim4 complex	Schizosaccharomyces_pombe@Seq_1531	121_1530	OG191417
Mis6-Sim4 complex	Schizosaccharomyces_pombe@Seq_2150	121_2149	OG5362
Mis6-Sim4 complex	Schizosaccharomyces_pombe@Seq_2308	121_2307	OG76271
Mis6-Sim4 complex	Schizosaccharomyces_pombe@Seq_2448	121_2447	OG10424
Mis6-Sim4 complex	Schizosaccharomyces_pombe@Seq_3668	121_3667	OG200028
Mis6-Sim4 complex	Schizosaccharomyces_pombe@Seq_4024	121_4023	OG151441
Mis6-Sim4 complex	Schizosaccharomyces_pombe@Seq_4184	121_4183	OG148970
Mis6-Sim4 complex	Schizosaccharomyces_pombe@Seq_422	121_421	OG113974
Mis6-Sim4 complex	Schizosaccharomyces_pombe@Seq_436	121_435	OG3290
Mis6-Sim4 complex	Schizosaccharomyces_pombe@Seq_4425	121_4424	OG9002
Mis6-Sim4 complex	Schizosaccharomyces_pombe@Seq_4681	121_4680	OG153386
Mre11 complex	Schizosaccharomyces_pombe@Seq_1196	121_1195	OG119081
Mre11 complex	Schizosaccharomyces_pombe@Seq_1455	121_1454	OG1700
Mre11 complex	Schizosaccharomyces_pombe@Seq_3809	121_3808	OG2164
Mst2 histone acetyltransferase complex	Schizosaccharomyces_pombe@Seq_1374	121_1373	OG116026
Mst2 histone acetyltransferase complex	Schizosaccharomyces_pombe@Seq_2486	121_2485	OG4174
Mst2 histone acetyltransferase complex	Schizosaccharomyces_pombe@Seq_3044	121_3043	OG2946
Mst2 histone acetyltransferase complex	Schizosaccharomyces_pombe@Seq_3180	121_3179	OG3444
Mst2 histone acetyltransferase complex	Schizosaccharomyces_pombe@Seq_3709	121_3708	OG2855
NMS complex	Schizosaccharomyces_pombe@Seq_2520	121_2519	OG4988
NMS complex	Schizosaccharomyces_pombe@Seq_2591	121_2590	OG3295
NMS complex	Schizosaccharomyces_pombe@Seq_3071	121_3070	OG4495
NMS complex	Schizosaccharomyces_pombe@Seq_3271	121_3270	OG6707
NMS complex	Schizosaccharomyces_pombe@Seq_3315	121_3314	OG3834
NMS complex	Schizosaccharomyces_pombe@Seq_3319	121_3318	OG7921
NMS complex	Schizosaccharomyces_pombe@Seq_4266	121_4265	OG2563
NMS complex	Schizosaccharomyces_pombe@Seq_4311	121_4310	OG4654
NMS complex	Schizosaccharomyces_pombe@Seq_4607	121_4606	OG3440
NMS complex	Schizosaccharomyces_pombe@Seq_4732	121_4731	OG4933
NURS complex	Schizosaccharomyces_pombe@Seq_1701	121_1700	OG1036
NURS complex	Schizosaccharomyces_pombe@Seq_221	121_220	OG5655
NURS complex	Schizosaccharomyces_pombe@Seq_3441	121_3440	OG10468
NURS complex	Schizosaccharomyces_pombe@Seq_4324	121_4323	OG167733
NURS complex	Schizosaccharomyces_pombe@Seq_4748	121_4747	OG195071
NURS complex	Schizosaccharomyces_pombe@Seq_700	121_699	OG4727
NVT complex	Schizosaccharomyces_pombe@Seq_1753	121_1752	OG8194
NVT complex	Schizosaccharomyces_pombe@Seq_218	121_217	OG1469
NVT complex	Schizosaccharomyces_pombe@Seq_3905	121_3904	OG1041
NatA complex	Schizosaccharomyces_pombe@Seq_2157	121_2156	OG1823
NatA complex	Schizosaccharomyces_pombe@Seq_2224	121_2223	OG2519
NatA complex	Schizosaccharomyces_pombe@Seq_432	121_431	OG97412
NatA complex	Schizosaccharomyces_pombe@Seq_628	121_627	OG3793
NatB complex	Schizosaccharomyces_pombe@Seq_1211	121_1210	OG3354
NatB complex	Schizosaccharomyces_pombe@Seq_2618	121_2617	OG3198
NatC complex	Schizosaccharomyces_pombe@Seq_414	121_413	OG13709
NatC complex	Schizosaccharomyces_pombe@Seq_494	121_493	OG2779
NatC complex	Schizosaccharomyces_pombe@Seq_5113	121_5112	OG2456
Ndc80 complex	Schizosaccharomyces_pombe@Seq_2520	121_2519	OG4988
Ndc80 complex	Schizosaccharomyces_pombe@Seq_3315	121_3314	OG3834
Ndc80 complex	Schizosaccharomyces_pombe@Seq_4266	121_4265	OG2563
Ndc80 complex	Schizosaccharomyces_pombe@Seq_4732	121_4731	OG4933
Nem1-Spo7 phosphatase complex	Schizosaccharomyces_pombe@Seq_2158	121_2157	OG3769
Nem1-Spo7 phosphatase complex	Schizosaccharomyces_pombe@Seq_3390	121_3389	OG2824
Noc1p-Noc2p complex	Schizosaccharomyces_pombe@Seq_140	121_139	OG2060
Noc1p-Noc2p complex	Schizosaccharomyces_pombe@Seq_1971	121_1970	OG1957
Noc1p-Noc2p complex	Schizosaccharomyces_pombe@Seq_4808	121_4807	OG205792
Noc2p-Noc3p complex	Schizosaccharomyces_pombe@Seq_140	121_139	OG2060
Noc2p-Noc3p complex	Schizosaccharomyces_pombe@Seq_2307	121_2306	OG1809
Noc2p-Noc3p complex	Schizosaccharomyces_pombe@Seq_4808	121_4807	OG205792
Nrd1 complex	Schizosaccharomyces_pombe@Seq_2076	121_2075	OG7584
Nrd1 complex	Schizosaccharomyces_pombe@Seq_3107	121_3106	OG2744
Nrd1 complex	Schizosaccharomyces_pombe@Seq_3187	121_3186	OG1347
Nrd1 complex	Schizosaccharomyces_pombe@Seq_3956	121_3955	OG1347
Nsk1-Dlc1 complex	Schizosaccharomyces_pombe@Seq_2374	121_2373	OG7441
Nsk1-Dlc1 complex	Schizosaccharomyces_pombe@Seq_2581	121_2580	OG107446
NuA4 histone acetyltransferase complex	Schizosaccharomyces_pombe@Seq_113	121_112	OG2180
NuA4 histone acetyltransferase complex	Schizosaccharomyces_pombe@Seq_1222	121_1221	OG3071
NuA4 histone acetyltransferase complex	Schizosaccharomyces_pombe@Seq_1370	121_1369	OG2118
NuA4 histone acetyltransferase complex	Schizosaccharomyces_pombe@Seq_1761	121_1760	OG3717
NuA4 histone acetyltransferase complex	Schizosaccharomyces_pombe@Seq_2145	121_2144	OG3697
NuA4 histone acetyltransferase complex	Schizosaccharomyces_pombe@Seq_2250	121_2249	OG2949
NuA4 histone acetyltransferase complex	Schizosaccharomyces_pombe@Seq_2372	121_2371	OG1427
NuA4 histone acetyltransferase complex	Schizosaccharomyces_pombe@Seq_2394	121_2393	OG3397
NuA4 histone acetyltransferase complex	Schizosaccharomyces_pombe@Seq_2531	121_2530	OG2653
NuA4 histone acetyltransferase complex	Schizosaccharomyces_pombe@Seq_2679	121_2678	OG1721
NuA4 histone acetyltransferase complex	Schizosaccharomyces_pombe@Seq_3664	121_3663	OG3983
NuA4 histone acetyltransferase complex	Schizosaccharomyces_pombe@Seq_389	121_388	OG1896
NuA4 histone acetyltransferase complex	Schizosaccharomyces_pombe@Seq_4269	121_4268	OG3922
NuA4 histone acetyltransferase complex	Schizosaccharomyces_pombe@Seq_4356	121_4355	OG5426
NuA4 histone acetyltransferase complex	Schizosaccharomyces_pombe@Seq_4998	121_4997	OG2141
NuA4 histone acetyltransferase complex	Schizosaccharomyces_pombe@Seq_578	121_577	OG11284
P-TEFb complex	Schizosaccharomyces_pombe@Seq_830	121_829	OG3277
P-TEFb complex	Schizosaccharomyces_pombe@Seq_862	121_861	OG4846
P-TEFb-cap methyltransferase complex	Schizosaccharomyces_pombe@Seq_1935	121_1934	OG2292
P-TEFb-cap methyltransferase complex	Schizosaccharomyces_pombe@Seq_830	121_829	OG3277
PAM complex, Tim23 associated import motor	Schizosaccharomyces_pombe@Seq_1084	121_1083	OG1002
PAM complex, Tim23 associated import motor	Schizosaccharomyces_pombe@Seq_2023	121_2022	OG2440
PAM complex, Tim23 associated import motor	Schizosaccharomyces_pombe@Seq_264	121_263	OG3126
PAM complex, Tim23 associated import motor	Schizosaccharomyces_pombe@Seq_4765	121_4764	OG3131
PAM complex, Tim23 associated import motor	Schizosaccharomyces_pombe@Seq_898	121_897	OG2858
PAN complex	Schizosaccharomyces_pombe@Seq_2431	121_2430	OG1816
PAN complex	Schizosaccharomyces_pombe@Seq_3310	121_3309	OG2055
PAN complex	Schizosaccharomyces_pombe@Seq_3750	121_3749	OG1816
PAS complex	Schizosaccharomyces_pombe@Seq_2362	121_2361	OG109081
PAS complex	Schizosaccharomyces_pombe@Seq_3000	121_2999	OG1495
PAS complex	Schizosaccharomyces_pombe@Seq_47	121_46	OG2579
PAS complex	Schizosaccharomyces_pombe@Seq_5094	121_5093	OG2213
PCNA complex	Schizosaccharomyces_pombe@Seq_2772	121_2771	OG2159
PTW/PP1 phosphatase complex	Schizosaccharomyces_pombe@Seq_2055	121_2054	OG1452
PTW/PP1 phosphatase complex	Schizosaccharomyces_pombe@Seq_4357	121_4356	OG1452
PTW/PP1 phosphatase complex	Schizosaccharomyces_pombe@Seq_4660	121_4659	OG3661
PeBoW complex	Schizosaccharomyces_pombe@Seq_1722	121_1721	OG1722
PeBoW complex	Schizosaccharomyces_pombe@Seq_1735	121_1734	OG2140
PeBoW complex	Schizosaccharomyces_pombe@Seq_4573	121_4572	OG2193
Pi Mi complex	Schizosaccharomyces_pombe@Seq_1488	121_1487	OG212709
Pi Mi complex	Schizosaccharomyces_pombe@Seq_4775	121_4774	OG32195
Prp19 complex	Schizosaccharomyces_pombe@Seq_111	121_110	OG1538
Prp19 complex	Schizosaccharomyces_pombe@Seq_1255	121_1254	OG3916
Prp19 complex	Schizosaccharomyces_pombe@Seq_1376	121_1375	OG3004
Prp19 complex	Schizosaccharomyces_pombe@Seq_1691	121_1690	OG2650
Prp19 complex	Schizosaccharomyces_pombe@Seq_1967	121_1966	OG4163
Prp19 complex	Schizosaccharomyces_pombe@Seq_2044	121_2043	OG3229
Prp19 complex	Schizosaccharomyces_pombe@Seq_2630	121_2629	OG4830
Prp19 complex	Schizosaccharomyces_pombe@Seq_3065	121_3064	OG1790
Prp19 complex	Schizosaccharomyces_pombe@Seq_3135	121_3134	OG4600
Prp19 complex	Schizosaccharomyces_pombe@Seq_334	121_333	OG1025
Prp19 complex	Schizosaccharomyces_pombe@Seq_3576	121_3575	OG4990
Prp19 complex	Schizosaccharomyces_pombe@Seq_4656	121_4655	OG3781
Prp19 complex	Schizosaccharomyces_pombe@Seq_5131	121_5130	OG3223
Prp19 complex	Schizosaccharomyces_pombe@Seq_551	121_550	OG4987
Prp19 complex	Schizosaccharomyces_pombe@Seq_613	121_612	OG3741
Prp19 complex	Schizosaccharomyces_pombe@Seq_825	121_824	OG4013
R2TP complex	Schizosaccharomyces_pombe@Seq_1370	121_1369	OG2118
R2TP complex	Schizosaccharomyces_pombe@Seq_2679	121_2678	OG1721
RAVE complex	Schizosaccharomyces_pombe@Seq_1856	121_1855	OG2575
RAVE complex	Schizosaccharomyces_pombe@Seq_293	121_292	OG2287
RAVE complex	Schizosaccharomyces_pombe@Seq_4735	121_4734	OG96470
RIC1-RGP1 guanyl-nucleotide exchange factor complex	Schizosaccharomyces_pombe@Seq_1707	121_1706	OG5161
RISC complex	Schizosaccharomyces_pombe@Seq_1471	121_1470	OG11085
RISC complex	Schizosaccharomyces_pombe@Seq_2294	121_2293	OG4394
RITS complex	Schizosaccharomyces_pombe@Seq_1361	121_1360	OG5546
RITS complex	Schizosaccharomyces_pombe@Seq_2452	121_2451	OG107468
RITS complex	Schizosaccharomyces_pombe@Seq_3130	121_3129	OG71648
RNA polymerase I complex	Schizosaccharomyces_pombe@Seq_1028	121_1027	OG2847
RNA polymerase I complex	Schizosaccharomyces_pombe@Seq_2239	121_2238	OG2731
RNA polymerase I complex	Schizosaccharomyces_pombe@Seq_2244	121_2243	OG3302
RNA polymerase I complex	Schizosaccharomyces_pombe@Seq_2357	121_2356	OG143615
RNA polymerase I complex	Schizosaccharomyces_pombe@Seq_2510	121_2509	OG2030
RNA polymerase I complex	Schizosaccharomyces_pombe@Seq_2597	121_2596	OG3160
RNA polymerase I complex	Schizosaccharomyces_pombe@Seq_2935	121_2934	OG187421
RNA polymerase I complex	Schizosaccharomyces_pombe@Seq_3056	121_3055	OG3002
RNA polymerase I complex	Schizosaccharomyces_pombe@Seq_3558	121_3557	OG2828
RNA polymerase I complex	Schizosaccharomyces_pombe@Seq_359	121_358	OG2018
RNA polymerase I complex	Schizosaccharomyces_pombe@Seq_4297	121_4296	OG2273
RNA polymerase I complex	Schizosaccharomyces_pombe@Seq_4749	121_4748	OG3400
RNA polymerase I complex	Schizosaccharomyces_pombe@Seq_4791	121_4790	OG1568
RNA polymerase I complex	Schizosaccharomyces_pombe@Seq_4922	121_4921	OG3189
RNA polymerase I core factor complex	Schizosaccharomyces_pombe@Seq_2194	121_2193	OG3349
RNA polymerase I core factor complex	Schizosaccharomyces_pombe@Seq_2384	121_2383	OG67446
RNA polymerase I core factor complex	Schizosaccharomyces_pombe@Seq_2639	121_2638	OG8995
RNA polymerase I upstream activating factor complex	Schizosaccharomyces_pombe@Seq_2799	121_2798	OG13101
RNA polymerase I upstream activating factor complex	Schizosaccharomyces_pombe@Seq_3925	121_3924	OG4673
RNA polymerase I upstream activating factor complex	Schizosaccharomyces_pombe@Seq_4415	121_4414	OG189354
RNA polymerase I upstream activating factor complex	Schizosaccharomyces_pombe@Seq_5103	121_5102	OG216050
RNA polymerase II, core complex	Schizosaccharomyces_pombe@Seq_1187	121_1186	OG1033
RNA polymerase II, core complex	Schizosaccharomyces_pombe@Seq_1212	121_1211	OG3317
RNA polymerase II, core complex	Schizosaccharomyces_pombe@Seq_1482	121_1481	OG3080
RNA polymerase II, core complex	Schizosaccharomyces_pombe@Seq_1958	121_1957	OG1028
RNA polymerase II, core complex	Schizosaccharomyces_pombe@Seq_2086	121_2085	OG2391
RNA polymerase II, core complex	Schizosaccharomyces_pombe@Seq_2239	121_2238	OG2731
RNA polymerase II, core complex	Schizosaccharomyces_pombe@Seq_2244	121_2243	OG3302
RNA polymerase II, core complex	Schizosaccharomyces_pombe@Seq_3056	121_3055	OG3002
RNA polymerase II, core complex	Schizosaccharomyces_pombe@Seq_3558	121_3557	OG2828
RNA polymerase II, core complex	Schizosaccharomyces_pombe@Seq_3811	121_3810	OG1720
RNA polymerase II, core complex	Schizosaccharomyces_pombe@Seq_3837	121_3836	OG2299
RNA polymerase II, core complex	Schizosaccharomyces_pombe@Seq_4297	121_4296	OG2273
RNA polymerase II, core complex	Schizosaccharomyces_pombe@Seq_4610	121_4609	OG2222
RNA polymerase III complex	Schizosaccharomyces_pombe@Seq_1028	121_1027	OG2847
RNA polymerase III complex	Schizosaccharomyces_pombe@Seq_1060	121_1059	OG8779
RNA polymerase III complex	Schizosaccharomyces_pombe@Seq_1095	121_1094	OG3037
RNA polymerase III complex	Schizosaccharomyces_pombe@Seq_1145	121_1144	OG69642
RNA polymerase III complex	Schizosaccharomyces_pombe@Seq_1431	121_1430	OG1033
RNA polymerase III complex	Schizosaccharomyces_pombe@Seq_1808	121_1807	OG1028
RNA polymerase III complex	Schizosaccharomyces_pombe@Seq_2239	121_2238	OG2731
RNA polymerase III complex	Schizosaccharomyces_pombe@Seq_2244	121_2243	OG3302
RNA polymerase III complex	Schizosaccharomyces_pombe@Seq_2822	121_2821	OG3190
RNA polymerase III complex	Schizosaccharomyces_pombe@Seq_2999	121_2998	OG3142
RNA polymerase III complex	Schizosaccharomyces_pombe@Seq_3056	121_3055	OG3002
RNA polymerase III complex	Schizosaccharomyces_pombe@Seq_3306	121_3305	OG3417
RNA polymerase III complex	Schizosaccharomyces_pombe@Seq_3558	121_3557	OG2828
RNA polymerase III complex	Schizosaccharomyces_pombe@Seq_3989	121_3988	OG2856
RNA polymerase III complex	Schizosaccharomyces_pombe@Seq_4297	121_4296	OG2273
RNA polymerase III complex	Schizosaccharomyces_pombe@Seq_4749	121_4748	OG3400
RNA polymerase III complex	Schizosaccharomyces_pombe@Seq_4953	121_4952	OG2029
RQC complex	Schizosaccharomyces_pombe@Seq_1489	121_1488	OG1505
RQC complex	Schizosaccharomyces_pombe@Seq_1738	121_1737	OG3371
RQC complex	Schizosaccharomyces_pombe@Seq_1814	121_1813	OG4176
RQC complex	Schizosaccharomyces_pombe@Seq_3308	121_3307	OG2255
RQC complex	Schizosaccharomyces_pombe@Seq_380	121_379	OG1884
RQC complex	Schizosaccharomyces_pombe@Seq_4281	121_4280	OG2940
RSC-type complex	Schizosaccharomyces_pombe@Seq_1035	121_1034	OG141419
RSC-type complex	Schizosaccharomyces_pombe@Seq_1273	121_1272	OG2710
RSC-type complex	Schizosaccharomyces_pombe@Seq_2411	121_2410	OG3708
RSC-type complex	Schizosaccharomyces_pombe@Seq_2600	121_2599	OG3955
RSC-type complex	Schizosaccharomyces_pombe@Seq_2940	121_2939	OG1718
RSC-type complex	Schizosaccharomyces_pombe@Seq_3079	121_3078	OG1415
RSC-type complex	Schizosaccharomyces_pombe@Seq_3205	121_3204	OG1718
RSC-type complex	Schizosaccharomyces_pombe@Seq_4269	121_4268	OG3922
RSC-type complex	Schizosaccharomyces_pombe@Seq_4654	121_4653	OG4992
RSC-type complex	Schizosaccharomyces_pombe@Seq_4812	121_4811	OG13698
RSC-type complex	Schizosaccharomyces_pombe@Seq_5072	121_5071	OG4121
RSC-type complex	Schizosaccharomyces_pombe@Seq_5110	121_5109	OG1051
RSC-type complex	Schizosaccharomyces_pombe@Seq_517	121_516	OG3693
Rab-protein geranylgeranyltransferase complex	Schizosaccharomyces_pombe@Seq_1290	121_1289	OG3510
Rab-protein geranylgeranyltransferase complex	Schizosaccharomyces_pombe@Seq_4088	121_4087	OG2777
Rad17 RFC-like complex	Schizosaccharomyces_pombe@Seq_1568	121_1567	OG4177
Rad17 RFC-like complex	Schizosaccharomyces_pombe@Seq_1686	121_1685	OG2330
Rad17 RFC-like complex	Schizosaccharomyces_pombe@Seq_2563	121_2562	OG2291
Rad17 RFC-like complex	Schizosaccharomyces_pombe@Seq_326	121_325	OG2996
Rad17 RFC-like complex	Schizosaccharomyces_pombe@Seq_4556	121_4555	OG2839
Ragulator complex	Schizosaccharomyces_pombe@Seq_1833	121_1832	OG68362
Ragulator complex	Schizosaccharomyces_pombe@Seq_3248	121_3247	OG233070
Ragulator complex	Schizosaccharomyces_pombe@Seq_4844	121_4843	OG90807
Ragulator complex	Schizosaccharomyces_pombe@Seq_890	121_889	OG72196
RecQ family helicase-topoisomerase III complex	Schizosaccharomyces_pombe@Seq_2675	121_2674	OG8532
RecQ family helicase-topoisomerase III complex	Schizosaccharomyces_pombe@Seq_4522	121_4521	OG1801
RecQ family helicase-topoisomerase III complex	Schizosaccharomyces_pombe@Seq_4727	121_4726	OG1396
Rhp55-Rhp57 complex	Schizosaccharomyces_pombe@Seq_208	121_207	OG9034
Rhp55-Rhp57 complex	Schizosaccharomyces_pombe@Seq_4190	121_4189	OG4095
Rix1 complex	Schizosaccharomyces_pombe@Seq_3768	121_3767	OG7102
Rix1 complex	Schizosaccharomyces_pombe@Seq_3979	121_3978	OG2135
Rix1 complex	Schizosaccharomyces_pombe@Seq_4151	121_4150	OG2351
Rpd3L complex	Schizosaccharomyces_pombe@Seq_1139	121_1138	OG4857
Rpd3L complex	Schizosaccharomyces_pombe@Seq_1921	121_1920	OG3094
Rpd3L complex	Schizosaccharomyces_pombe@Seq_2145	121_2144	OG3697
Rpd3L complex	Schizosaccharomyces_pombe@Seq_25	121_24	OG1363
Rpd3L complex	Schizosaccharomyces_pombe@Seq_2849	121_2848	OG213596
Rpd3L complex	Schizosaccharomyces_pombe@Seq_3032	121_3031	OG3088
Rpd3L complex	Schizosaccharomyces_pombe@Seq_4261	121_4260	OG203920
Rpd3L complex	Schizosaccharomyces_pombe@Seq_4728	121_4727	OG1453
Rpd3L complex	Schizosaccharomyces_pombe@Seq_5088	121_5087	OG4826
Rpd3L-Expanded complex	Schizosaccharomyces_pombe@Seq_1139	121_1138	OG4857
Rpd3L-Expanded complex	Schizosaccharomyces_pombe@Seq_1964	121_1963	OG2373
Rpd3L-Expanded complex	Schizosaccharomyces_pombe@Seq_25	121_24	OG1363
Rpd3L-Expanded complex	Schizosaccharomyces_pombe@Seq_2902	121_2901	OG143602
Rpd3L-Expanded complex	Schizosaccharomyces_pombe@Seq_3032	121_3031	OG3088
Rpd3L-Expanded complex	Schizosaccharomyces_pombe@Seq_3697	121_3696	OG2805
Rpd3L-Expanded complex	Schizosaccharomyces_pombe@Seq_3710	121_3709	OG3542
Rpd3L-Expanded complex	Schizosaccharomyces_pombe@Seq_3906	121_3905	OG10605
Rpd3L-Expanded complex	Schizosaccharomyces_pombe@Seq_4835	121_4834	OG2000
Rpd3L-Expanded complex	Schizosaccharomyces_pombe@Seq_5088	121_5087	OG4826
Rpd3L-Expanded complex	Schizosaccharomyces_pombe@Seq_638	121_637	OG3482
Rpd3S complex	Schizosaccharomyces_pombe@Seq_1964	121_1963	OG2373
Rpd3S complex	Schizosaccharomyces_pombe@Seq_2394	121_2393	OG3397
Rpd3S complex	Schizosaccharomyces_pombe@Seq_25	121_24	OG1363
Rpd3S complex	Schizosaccharomyces_pombe@Seq_2902	121_2901	OG143602
Rpd3S complex	Schizosaccharomyces_pombe@Seq_3090	121_3089	OG2728
Rpd3S complex	Schizosaccharomyces_pombe@Seq_3238	121_3237	OG2728
Rpd3S complex	Schizosaccharomyces_pombe@Seq_3906	121_3905	OG10605
Rpd3S complex	Schizosaccharomyces_pombe@Seq_401	121_400	OG1453
Rpd3S complex	Schizosaccharomyces_pombe@Seq_5088	121_5087	OG4826
SAGA complex	Schizosaccharomyces_pombe@Seq_1088	121_1087	OG1493
SAGA complex	Schizosaccharomyces_pombe@Seq_1442	121_1441	OG5358
SAGA complex	Schizosaccharomyces_pombe@Seq_1633	121_1632	OG1560
SAGA complex	Schizosaccharomyces_pombe@Seq_2373	121_2372	OG4164
SAGA complex	Schizosaccharomyces_pombe@Seq_258	121_257	OG3068
SAGA complex	Schizosaccharomyces_pombe@Seq_2633	121_2632	OG3031
SAGA complex	Schizosaccharomyces_pombe@Seq_2636	121_2635	OG3528
SAGA complex	Schizosaccharomyces_pombe@Seq_2731	121_2730	OG2280
SAGA complex	Schizosaccharomyces_pombe@Seq_3165	121_3164	OG2165
SAGA complex	Schizosaccharomyces_pombe@Seq_3208	121_3207	OG3289
SAGA complex	Schizosaccharomyces_pombe@Seq_3427	121_3426	OG1427
SAGA complex	Schizosaccharomyces_pombe@Seq_3833	121_3832	OG105512
