sce:YNL113W	ko:K03020
sce:YML094W	ko:K04797
sce:YBR088C	ko:K04802
sce:YKL113C	ko:K04799
sce:YDR190C	ko:K04499
sce:YJR104C	ko:K04565
sce:YGR123C	ko:K04460
sce:YLR208W	ko:K14004
sce:YNR027W	ko:K00868
sce:YGL206C	ko:K04646
sce:YDL145C	ko:K05236
sce:YDR037W	ko:K04567
sce:YDR177W	ko:K04649
sce:YLR113W	ko:K04441
sce:YPR176C	ko:K05956
sce:YHR030C	ko:K04464
sce:YBR008C	ko:K08158
sce:YKL210W	ko:K03178
sce:YMR022W	ko:K04555
sce:YDR532C	ko:K05749
sce:YDL134C	ko:K04382
sce:YNL290W	ko:K10756
sce:YMR278W	ko:K01835
sce:YHR170W	ko:K07562
sce:YJL091C	ko:K05283
sce:YJR013W	ko:K05284
sce:YCL052C	ko:K07541
sce:YBR004C	ko:K07542
sce:YKL165C	ko:K05285
sce:YOR171C	ko:K04718
sce:YLR260W	ko:K04718
sce:YHL003C	ko:K04709
sce:YDR297W	ko:K04713
sce:YBR183W	ko:K05848
sce:YPL087W	ko:K04711
sce:YGL236C	ko:K03495
sce:YBR274W	ko:K02216
sce:YDL017W	ko:K02214
sce:YGR188C	ko:K02178
sce:YJL187C	ko:K03114
sce:YKL101W	ko:K02515
sce:YPL153C	ko:K02831
sce:YDL108W	ko:K02202
sce:YNL221C	ko:K01164
sce:YOL133W	ko:K03868
sce:YGR234W	ko:K05916
sce:YBR278W	ko:K03506
sce:YDR121W	ko:K02326
sce:YDL246C	ko:K00008
sce:YLR259C	ko:K04077
sce:YJL093C	ko:K05389
sce:YBR018C	ko:K00965
sce:YOL064C	ko:K01082
sce:YFR019W	ko:K00921
sce:YBR170C	ko:K14015
sce:YDR011W	ko:K08712
sce:YMR036C	ko:K02555
sce:YOR388C	ko:K00122
sce:YLR120C	ko:K06009
sce:YBR265W	ko:K04708
sce:YDL188C	ko:K04382
sce:YMR214W	ko:K14002
sce:YBR015C	ko:K05535
sce:YJL186W	ko:K05536
sce:YMR309C	ko:K03252
sce:YDR091C	ko:K06174
sce:YHR008C	ko:K04564
sce:YML080W	ko:K05542
sce:YNR015W	ko:K05543
sce:YLR401C	ko:K05544
sce:YLR405W	ko:K05545
sce:YDR054C	ko:K02207
sce:YCR009C	ko:K20120
sce:YGR101W	ko:K09650
sce:YKL013C	ko:K05755
sce:YER036C	ko:K06185
sce:YMR301C	ko:K05663
sce:YDR208W	ko:K00889
sce:YFR009W	ko:K06158
sce:YLR370C	ko:K05756
sce:YNR035C	ko:K05758
sce:YBR234C	ko:K05757
sce:YIL062C	ko:K05754
sce:YOR122C	ko:K05759
sce:YMR150C	ko:K09647
sce:YMR035W	ko:K09648
sce:YPL053C	ko:K05537
sce:YER001W	ko:K05538
sce:YER103W	ko:K03283
sce:YMR162C	ko:K01530
sce:YGL037C	ko:K01440
sce:YIL053W	ko:K06116
sce:YER062C	ko:K06117
sce:YGL038C	ko:K05528
sce:YPL050C	ko:K05529
sce:YML115C	ko:K05530
sce:YDR245W	ko:K05531
sce:YJL183W	ko:K05532
sce:YEL036C	ko:K05533
sce:YJR075W	ko:K05534
sce:YBL020W	ko:K06316
sce:YIL124W	ko:K06123
sce:YPR055W	ko:K06111
sce:YOR125C	ko:K06134
sce:YNR041C	ko:K06125
sce:YGR255C	ko:K06126
sce:YML110C	ko:K06127
sce:YEL002C	ko:K12670
sce:YMR149W	ko:K12667
sce:YGL019W	ko:K03115
sce:YOR039W	ko:K03115
sce:YIL094C	ko:K05824
sce:YKL108W	ko:K10729
sce:YGL113W	ko:K10731
sce:YJL115W	ko:K10753
sce:YDL132W	ko:K03347
sce:YBR242W	ko:K07023
sce:YGL101W	ko:K07023
sce:YOR339C	ko:K06688
sce:YGR036C	ko:K07252
sce:YMR156C	ko:K08075
sce:YGR060W	ko:K07750
sce:YML102W	ko:K10751
sce:YDR044W	ko:K00228
sce:YKL166C	ko:K04345
sce:YLR192C	ko:K03245
sce:YCR010C	ko:K07034
sce:YDR384C	ko:K07034
sce:YNR002C	ko:K07034
sce:YBR202W	ko:K02210
sce:YBL061C	ko:K07126
sce:YDL203C	ko:K07126
sce:YER096W	ko:K07126
sce:YCL059C	ko:K06961
sce:YDL245C	ko:K08139
sce:YDR342C	ko:K08139
sce:YDR343C	ko:K08139
sce:YDR345C	ko:K08139
sce:YEL069C	ko:K08139
sce:YFL011W	ko:K08139
sce:YGL232W	ko:K06963
sce:YHR207C	ko:K07117
sce:YNL001W	ko:K06965
sce:YBR024W	ko:K07152
sce:YBR037C	ko:K07152
sce:YER100W	ko:K04554
sce:YDR453C	ko:K03386
sce:YBR093C	ko:K01078
sce:YHR092C	ko:K08139
sce:YHR094C	ko:K08139
sce:YHR096C	ko:K08139
sce:YJL214W	ko:K08139
sce:YJL219W	ko:K08139
sce:YJR158W	ko:K08139
sce:YLR081W	ko:K08139
sce:YMR011W	ko:K08139
sce:YNR072W	ko:K08139
sce:YOL156W	ko:K08139
sce:YGL190C	ko:K04354
sce:YOR111W	ko:K06287
sce:YBR177C	ko:K07019
sce:YPL095C	ko:K07019
sce:YEL065W	ko:K08197
sce:YHL040C	ko:K08197
sce:YHL047C	ko:K08197
sce:YML131W	ko:K07119
sce:YDR013W	ko:K10732
sce:YER037W	ko:K07025
sce:YMR130W	ko:K07025
sce:YHR025W	ko:K00872
sce:YML005W	ko:K07055
sce:YNL040W	ko:K07050
sce:YNL155W	ko:K07059
sce:YOR052C	ko:K07059
sce:YPR019W	ko:K02212
sce:YIL007C	ko:K06693
sce:YGR232W	ko:K06694
sce:YLR421C	ko:K06691
sce:YGL184C	ko:K01760
sce:YJR008W	ko:K06990
sce:YLR178C	ko:K06910
sce:YLR179C	ko:K06910
sce:YHR022C	ko:K06883
sce:YJR072C	ko:K06883
sce:YLR243W	ko:K06883
sce:YBL030C	ko:K05863
sce:YJL210W	ko:K06664
sce:YJL105W	ko:K07117
sce:YKR029C	ko:K07117
sce:YPL165C	ko:K07117
sce:YLR143W	ko:K06927
sce:YJL085W	ko:K07195
sce:YLL035W	ko:K06947
sce:YLR248W	ko:K08286
sce:YDL138W	ko:K08139
sce:YDL194W	ko:K08139
sce:YJL055W	ko:K06966
sce:YBR287W	ko:K07088
sce:YLR152C	ko:K07088
sce:YNL095C	ko:K07088
sce:YOR092W	ko:K07088
sce:YKL046C	ko:K08257
sce:YMR238W	ko:K08257
sce:YDR430C	ko:K06972
sce:YOR026W	ko:K02180
sce:YNL321W	ko:K07300
sce:YER163C	ko:K07232
sce:YLR070C	ko:K05351
sce:YAL016W	ko:K03456
sce:YDL128W	ko:K07300
sce:YMR210W	ko:K07019
sce:YMR096W	ko:K06215
sce:YOR262W	ko:K06883
sce:YDR291W	ko:K06877
sce:YGR052W	ko:K08286
sce:YJL057C	ko:K08286
sce:YKL116C	ko:K08286
sce:YKL171W	ko:K08286
sce:YMR291W	ko:K08286
sce:YNR047W	ko:K08286
sce:YOL045W	ko:K08286
sce:YOL128C	ko:K08286
sce:YOR233W	ko:K08286
sce:YLL019C	ko:K08287
sce:YDL247W	ko:K08141
sce:YBR298C	ko:K08141
sce:YGR289C	ko:K08141
sce:YJR160C	ko:K08141
sce:YCL026C-A	ko:K07078
sce:YEL012W	ko:K10576
sce:YCR051W	ko:K06867
sce:YGL242C	ko:K06867
sce:YIL001W	ko:K06867
sce:YIL112W	ko:K06867
sce:YIR033W	ko:K06867
sce:YKL020C	ko:K06867
sce:YMR068W	ko:K06867
sce:YPL239W	ko:K06867
sce:YPR089W	ko:K06867
sce:YNL305C	ko:K06890
sce:YNL320W	ko:K06889
sce:YGR211W	ko:K06874
sce:YMR074C	ko:K06875
sce:YDL002C	ko:K11680
sce:YLR274W	ko:K02209
sce:YAL040C	ko:K06646
sce:YBR160W	ko:K04563
sce:YDL056W	ko:K06647
sce:YLR105C	ko:K15322
sce:YLR182W	ko:K06648
sce:YER111C	ko:K06649
sce:YPL256C	ko:K06650
sce:YGR109C	ko:K06651
sce:YPR120C	ko:K06651
sce:YOR119C	ko:K07178
sce:YGL001C	ko:K07748
sce:YNL207W	ko:K07179
sce:YLR103C	ko:K06628
sce:YCR008W	ko:K08286
sce:YPL093W	ko:K06943
sce:YAL036C	ko:K06944
sce:YGR173W	ko:K06944
sce:YGR098C	ko:K02365
sce:YER042W	ko:K07304
sce:YGR210C	ko:K06942
sce:YBL022C	ko:K08675
sce:YGL022W	ko:K07151
sce:YKR079C	ko:K00784
sce:YBL016W	ko:K04371
sce:YGR040W	ko:K04371
sce:YLR118C	ko:K06999
sce:YER145C	ko:K07243
sce:YMR001C	ko:K06660
sce:YJL157C	ko:K06652
sce:YGR233C	ko:K06653
sce:YOL001W	ko:K06654
sce:YPL031C	ko:K06655
sce:YNL289W	ko:K06656
sce:YBL064C	ko:K03386
sce:YML028W	ko:K03386
sce:YDL127W	ko:K06657
sce:YFR034C	ko:K06658
sce:YDL106C	ko:K02646
sce:YDL155W	ko:K06659
sce:YLR210W	ko:K06659
sce:YMR095C	ko:K08681
sce:YDR507C	ko:K06668
sce:YJL074C	ko:K06669
sce:YDL003W	ko:K06670
sce:YDR304C	ko:K03770
sce:YBL097W	ko:K06676
sce:YLR272C	ko:K06677
sce:YLR086W	ko:K06675
sce:YDR325W	ko:K06678
sce:YDR217C	ko:K06661
sce:YGL047W	ko:K07432
sce:YBR070C	ko:K07441
sce:YFL008W	ko:K06636
sce:YER168C	ko:K00974
sce:YBL036C	ko:K06997
sce:YER173W	ko:K06662
sce:YLR288C	ko:K02544
sce:YPL194W	ko:K06663
sce:YGR113W	ko:K02307
sce:YGL086W	ko:K06679
sce:YJL013C	ko:K06680
sce:YAL024C	ko:K06681
sce:YML064C	ko:K06682
sce:YAR019C	ko:K06683
sce:YGR092W	ko:K06684
sce:YIL106W	ko:K06685
sce:YBR112C	ko:K06665
sce:YCR084C	ko:K06666
sce:YFL029C	ko:K06667
sce:YPR111W	ko:K06686
sce:YJL076W	ko:K06687
sce:YFR031C	ko:K06674
sce:YCR065W	ko:K09413
sce:YIL026C	ko:K06671
sce:YDR180W	ko:K06672
sce:YKR076W	ko:K07393
sce:YER147C	ko:K06673
sce:YPL240C	ko:K04079
sce:YPL059W	ko:K07390
sce:YJL072C	ko:K10733
sce:YLR216C	ko:K05864
sce:YHR132C	ko:K08783
sce:YGR209C	ko:K03671
sce:YAL058W	ko:K08054
sce:YMR312W	ko:K11377
sce:YKL179C	ko:K09313
sce:YNL136W	ko:K11399
sce:YCR097W	ko:K09358
sce:YCL067C	ko:K09359
sce:YCR039C	ko:K09359
sce:YCR096C	ko:K09359
sce:YML069W	ko:K09272
sce:YKL192C	ko:K03955
sce:YGR283C	ko:K09142
sce:YLL050C	ko:K05765
sce:YAL015C	ko:K10773
sce:YML001W	ko:K07897
sce:YFL001W	ko:K01855
sce:YPL236C	ko:K08856
sce:YPL022W	ko:K10848
sce:YHR079C	ko:K08852
sce:YMR274C	ko:K08658
sce:YHR099W	ko:K08874
sce:YML060W	ko:K03660
sce:YKR095W	ko:K09291
sce:YDR386W	ko:K08991
sce:YJR035W	ko:K10841
sce:YHR102W	ko:K08286
sce:YJL165C	ko:K08286
sce:YJR059W	ko:K08286
sce:YKL168C	ko:K08286
sce:YKL198C	ko:K08286
sce:YFR015C	ko:K00693
sce:YGR087C	ko:K01568
sce:YGR199W	ko:K00728
sce:YGR286C	ko:K01012
sce:YHR123W	ko:K00993
sce:YHR179W	ko:K00354
sce:YIL162W	ko:K01193
sce:YIL145C	ko:K01918
sce:YIL125W	ko:K00164
sce:YIL107C	ko:K00900
sce:YIL020C	ko:K01814
sce:YIL015W	ko:K01383
sce:YLR200W	ko:K04798
sce:YIR029W	ko:K01477
sce:YIR032C	ko:K01483
sce:YIR037W	ko:K00432
sce:YJL208C	ko:K01173
sce:YKR080W	ko:K00295
sce:YKR097W	ko:K01610
sce:YLR044C	ko:K01568
sce:YLR133W	ko:K00866
sce:YLR142W	ko:K00318
sce:YLR172C	ko:K00586
sce:YLR180W	ko:K00789
sce:YLR420W	ko:K01465
sce:YLR438W	ko:K00819
sce:YML086C	ko:K00107
sce:YML078W	ko:K01802
sce:YML022W	ko:K00759
sce:YMR013C	ko:K00902
sce:YMR220W	ko:K00938
sce:YMR250W	ko:K01580
sce:YMR296C	ko:K00654
sce:YNL238W	ko:K01341
sce:YNR050C	ko:K00293
sce:YOL097C	ko:K01867
sce:YOL065C	ko:K01106
sce:YOR074C	ko:K00560
sce:YOR184W	ko:K00831
sce:YOR236W	ko:K00287
sce:YOR347C	ko:K00873
sce:YOR393W	ko:K01689
sce:YPL227C	ko:K00729
sce:YPL171C	ko:K00354
sce:YPL111W	ko:K01476
sce:YPL028W	ko:K00626
sce:YPR062W	ko:K01485
sce:YPR074C	ko:K00615
sce:YPR113W	ko:K00999
sce:YDL079C	ko:K08282
sce:YAL030W	ko:K08513
sce:YOR327C	ko:K08513
sce:YOR231W	ko:K08294
sce:YMR089C	ko:K08956
sce:YGL180W	ko:K08269
sce:YPR118W	ko:K08963
sce:YOR020C	ko:K04078
sce:YOR344C	ko:K09074
sce:YLR423C	ko:K08329
sce:YPR049C	ko:K08330
sce:YPR185W	ko:K08331
sce:YEL013W	ko:K08332
sce:YBR097W	ko:K08333
sce:YPL120W	ko:K08334
sce:YPR031W	ko:K11380
sce:YHR186C	ko:K07204
sce:YGL058W	ko:K10573
sce:YHR187W	ko:K11376
sce:YBR059C	ko:K08286
sce:YCR091W	ko:K08286
sce:YGL158W	ko:K08286
sce:YKL189W	ko:K08272
sce:YHR082C	ko:K08286
sce:YDR531W	ko:K09680
sce:YBR128C	ko:K08335
sce:YPL096W	ko:K01456
sce:YNL093W	ko:K07976
sce:YJL001W	ko:K02738
sce:YNL154C	ko:K02218
sce:YIL035C	ko:K03097
sce:YOR061W	ko:K03097
sce:YBR080C	ko:K06027
sce:YPR066W	ko:K10686
sce:YGR133W	ko:K10689
sce:YKL196C	ko:K08516
sce:YLR268W	ko:K08517
sce:YOL143C	ko:K00794
sce:YDL074C	ko:K10696
sce:YDR188W	ko:K09498
sce:YJL111W	ko:K09499
sce:YJL008C	ko:K09500
sce:YJL034W	ko:K09490
sce:YDR212W	ko:K09493
sce:YIL142W	ko:K09494
sce:YJR117W	ko:K06013
sce:YPL245W	ko:K09384
sce:YJL014W	ko:K09495
sce:YDL143W	ko:K09496
sce:YJR064W	ko:K09497
sce:YPR180W	ko:K10684
sce:YDR390C	ko:K10685
sce:YML095C	ko:K10849
sce:YOL094C	ko:K10755
sce:YOR217W	ko:K10754
sce:YNL073W	ko:K04567
sce:YNL312W	ko:K10739
sce:YBR223C	ko:K10862
sce:YKL015W	ko:K09248
sce:YKL112W	ko:K09249
sce:YNL223W	ko:K08342
sce:YKL178C	ko:K04627
sce:YPL242C	ko:K05767
sce:YDR144C	ko:K06009
sce:YOR149C	ko:K08098
sce:YDR146C	ko:K09202
sce:YOR006C	ko:K09140
sce:YFL021W	ko:K09184
sce:YER040W	ko:K09184
sce:YKR034W	ko:K09184
sce:YPL101W	ko:K11375
sce:YBR286W	ko:K01264
sce:YDL070W	ko:K11684
sce:YBL078C	ko:K08341
sce:YCR105W	ko:K00002
sce:YMR015C	ko:K09831
sce:YAL012W	ko:K01758
sce:YAR071W	ko:K01078
sce:YBL033C	ko:K01497
sce:YBR020W	ko:K00849
sce:YBR046C	ko:K00344
sce:YBR117C	ko:K00615
sce:YDR441C	ko:K00759
sce:YDR454C	ko:K00942
sce:YDR481C	ko:K01077
sce:YDR502C	ko:K00789
sce:YER055C	ko:K00765
sce:YLL042C	ko:K08338
sce:YML007W	ko:K09043
sce:YDR423C	ko:K09043
sce:YHR171W	ko:K08337
sce:YPL149W	ko:K08339
sce:YOR215C	ko:K09117
sce:YMR159C	ko:K08340
sce:YJR082C	ko:K11344
sce:YNL167C	ko:K09051
sce:YLR189C	ko:K05841
sce:YBR159W	ko:K10251
sce:YLR131C	ko:K09238
sce:YML099C	ko:K09246
sce:YMR280C	ko:K09240
sce:YPL248C	ko:K09241
sce:YLR256W	ko:K09247
sce:YLR451W	ko:K09242
sce:YGL119W	ko:K08869
sce:YLR253W	ko:K08869
sce:YPL109C	ko:K08869
sce:YNR007C	ko:K08343
sce:YDL170W	ko:K09245
sce:YDR207C	ko:K09243
sce:YDL064W	ko:K10577
sce:YGL073W	ko:K09419
sce:YEL009C	ko:K09464
sce:YGR044C	ko:K09235
sce:YDR216W	ko:K09466
sce:YGL035C	ko:K09467
sce:YER028C	ko:K09467
sce:YGL209W	ko:K09467
sce:YKL062W	ko:K09468
sce:YMR037C	ko:K09468
sce:YKR099W	ko:K09423
sce:YBR049C	ko:K09424
sce:YDR026C	ko:K09424
sce:YNL216W	ko:K09426
sce:YJR045C	ko:K04043
sce:YNL291C	ko:K08284
sce:YMR183C	ko:K08486
sce:YPL232W	ko:K08486
sce:YAR007C	ko:K07466
sce:YOR219C	ko:K08787
sce:YAR008W	ko:K15323
sce:YKL114C	ko:K10771
sce:YBL105C	ko:K02677
sce:YDR123C	ko:K09102
sce:YOL108C	ko:K09102
sce:YJR060W	ko:K09104
sce:YER162C	ko:K10838
sce:YER017C	ko:K08956
sce:YCL010C	ko:K11364
sce:YGL066W	ko:K11365
sce:YCR082W	ko:K11371
sce:YBL052C	ko:K11378
sce:YJR066W	ko:K07203
sce:YJR078W	ko:K00463
sce:YBR111W-A	ko:K11368
sce:YGL252C	ko:K11369
sce:YOR023C	ko:K11370
sce:YEL056W	ko:K10752
sce:YLL022C	ko:K11372
sce:YLR384C	ko:K11373
sce:YFL054C	ko:K03441
sce:YLL043W	ko:K03441
sce:YLL052C	ko:K09885
sce:YLR100W	ko:K09827
sce:YMR202W	ko:K09829
sce:YKL203C	ko:K07203
sce:YBR166C	ko:K00211
sce:YCR012W	ko:K00927
sce:YCR036W	ko:K00852
sce:YDL230W	ko:K01104
sce:YDL093W	ko:K00728
sce:YDR050C	ko:K01803
sce:YDR300C	ko:K00931
sce:YDR354W	ko:K00766
sce:YDR402C	ko:K00493
sce:YDR408C	ko:K00601
sce:YMR310C	ko:K09142
sce:YLL053C	ko:K09885
sce:YPR192W	ko:K09885
sce:YBR019C	ko:K01784
sce:YBR019C	ko:K01785
sce:YBR229C	ko:K05546
sce:YOR196C	ko:K03644
sce:YBR081C	ko:K11359
sce:YLR055C	ko:K11360
sce:YOL148C	ko:K11361
sce:YPL254W	ko:K11362
sce:YPL037C	ko:K01527
sce:YGR285C	ko:K09522
sce:YER164W	ko:K11367
sce:YOR064C	ko:K11379
sce:YMR167W	ko:K08734
sce:YKL139W	ko:K00916
sce:YOL090W	ko:K08735
sce:YCR092C	ko:K08736
sce:YDR097C	ko:K08737
sce:YJR048W	ko:K08738
sce:YPL164C	ko:K08739
sce:YFL003C	ko:K08740
sce:YDL154W	ko:K08741
sce:YOR153W	ko:K08711
sce:YOR027W	ko:K09553
sce:YML079W	ko:K09705
sce:YFL060C	ko:K08681
sce:YJL217W	ko:K09702
sce:YIL031W	ko:K08596
sce:YPL020C	ko:K08592
sce:YJR017C	ko:K09578
sce:YPL047W	ko:K11363
sce:YMR223W	ko:K11366
sce:snR78	ko:K14904
sce:YNL334C	ko:K08681
sce:YNL064C	ko:K09503
sce:YNL227C	ko:K09506
sce:YDL216C	ko:K09613
sce:YJL179W	ko:K09548
sce:YEL003W	ko:K09549
sce:YNL153C	ko:K09550
sce:YPR024W	ko:K08955
sce:YER087C-B	ko:K09481
sce:YDR468C	ko:K08499
sce:YAL014C	ko:K08501
sce:YGL212W	ko:K08502
sce:YIL004C	ko:K08504
sce:YKL006C-A	ko:K08505
sce:YGL098W	ko:K08507
sce:YOL146W	ko:K10734
sce:YDR489W	ko:K10735
sce:YIL150C	ko:K10736
sce:YNL072W	ko:K10743
sce:YBR169C	ko:K09485
sce:YPL106C	ko:K09485
sce:YOR075W	ko:K08492
sce:YMR197C	ko:K08493
sce:YBR217W	ko:K08336
sce:YBL019W	ko:K10772
sce:YNL218W	ko:K07478
sce:YLR008C	ko:K09539
sce:YOR254C	ko:K09540
sce:YNL006W	ko:K08266
sce:YNL161W	ko:K08286
sce:YAL017W	ko:K08286
sce:YML116W	ko:K08165
sce:YMR279C	ko:K08165
sce:YPR079W	ko:K10089
sce:YHL031C	ko:K08495
sce:YLR078C	ko:K08496
sce:YDR498C	ko:K08497
sce:YJR053W	ko:K02181
sce:YJR152W	ko:K08192
sce:YER007C-A	ko:K07575
sce:YPL089C	ko:K09265
sce:YPR065W	ko:K09274
sce:YGR109W-B	ko:K07497
sce:YIL082W-A	ko:K07497
sce:YBR264C	ko:K07976
sce:YLR176C	ko:K09175
sce:YFR028C	ko:K06639
sce:YIL118W	ko:K07975
sce:YKR055W	ko:K07975
sce:YNL090W	ko:K07975
sce:YNL180C	ko:K07975
sce:YOL018C	ko:K08489
sce:YLR026C	ko:K08490
sce:YPL211W	ko:K07565
sce:YLL028W	ko:K08157
sce:YLR093C	ko:K08564
sce:YKL085W	ko:K00026
sce:YNL315C	ko:K07555
sce:YJL180C	ko:K07556
sce:YGL142C	ko:K05286
sce:YDR302W	ko:K05287
sce:YLL031C	ko:K05288
sce:YLR088W	ko:K05289
sce:YDR331W	ko:K05290
sce:YDR434W	ko:K05291
sce:YHR188C	ko:K05292
sce:YLR459W	ko:K05293
sce:YFL025C	ko:K05294
sce:YDR086C	ko:K07342
sce:YFL039C	ko:K05692
sce:YDL190C	ko:K10597
sce:YPL123C	ko:K01166
sce:YBR236C	ko:K00565
sce:YDR440W	ko:K11427
sce:YJL026W	ko:K10808
sce:YOR033C	ko:K10746
sce:YDL164C	ko:K10747
sce:YGR195W	ko:K11600
sce:YDR448W	ko:K11314
sce:YLR306W	ko:K10579
sce:YDR092W	ko:K10580
sce:YDL015C	ko:K10258
sce:YMR216C	ko:K08832
sce:YOR005C	ko:K10777
sce:YDR457W	ko:K10592
sce:YKL010C	ko:K10590
sce:YER125W	ko:K10591
sce:YPR025C	ko:K06634
sce:YDR452W	ko:K06018
sce:YIL066C	ko:K10807
sce:YER070W	ko:K10807
sce:YGL087C	ko:K10704
sce:YER142C	ko:K01247
sce:YDR460W	ko:K10842
sce:YER171W	ko:K10844
sce:YDR079C-A	ko:K10845
sce:YHR164C	ko:K10742
sce:YLR372W	ko:K10246
sce:YCR034W	ko:K10245
sce:YIL143C	ko:K10843
sce:YIL030C	ko:K10661
sce:YJL125C	ko:K07442
sce:YJL128C	ko:K11227
sce:YDR225W	ko:K11251
sce:YDL220C	ko:K11115
sce:YLR453C	ko:K11119
sce:YKR101W	ko:K11120
sce:YDL042C	ko:K11121
sce:YLR442C	ko:K11122
sce:YDR227W	ko:K11123
sce:YDR082W	ko:K11117
sce:YMR127C	ko:K11401
sce:YOR213C	ko:K11403
sce:YBR034C	ko:K11434
sce:YNR016C	ko:K11262
sce:YDR392W	ko:K11313
sce:YOR258W	ko:K10863
sce:YDL235C	ko:K11232
sce:YMR059W	ko:K15325
sce:YHR089C	ko:K11128
sce:YCL043C	ko:K09580
sce:YJL168C	ko:K11423
sce:YJR070C	ko:K06072
sce:YLR318W	ko:K11126
sce:YCR066W	ko:K10627
sce:YGR184C	ko:K10625
sce:YOL013C	ko:K10601
sce:YKL149C	ko:K18328
sce:YGR258C	ko:K10846
sce:YMR201C	ko:K10847
sce:YHL010C	ko:K10632
sce:YER068W	ko:K10643
sce:YPL046C	ko:K03872
sce:YKR048C	ko:K11279
sce:YFL017W-A	ko:K11099
sce:YLR134W	ko:K01568
sce:YIL147C	ko:K11231
sce:YBL003C	ko:K11251
sce:YBR205W	ko:K10967
sce:YIL014W	ko:K10969
sce:Q0115	ko:K00412
sce:Q0110	ko:K00412
sce:Q0120	ko:K00412
sce:YFL036W	ko:K10908
sce:YOL126C	ko:K00026
sce:YNL273W	ko:K10997
sce:YGR088W	ko:K03781
sce:YDR206W	ko:K11132
sce:YDL078C	ko:K00026
sce:YOL068C	ko:K11121
sce:YOL043C	ko:K10773
sce:YKR054C	ko:K10413
sce:YMR048W	ko:K10998
sce:YKR098C	ko:K11871
sce:YOR056C	ko:K11883
sce:YBL063W	ko:K10398
sce:YGR200C	ko:K11374
sce:YMR106C	ko:K10885
sce:YBR087W	ko:K10756
sce:YGR024C	ko:K10761
sce:YOR099W	ko:K10967
sce:YMR190C	ko:K10901
sce:YGL257C	ko:K10968
sce:YDR347W	ko:K04564
sce:YIL046W	ko:K10259
sce:YJL046W	ko:K03800
sce:YHR090C	ko:K11396
sce:YDR359C	ko:K11397
sce:YJL081C	ko:K11400
sce:YNL107W	ko:K11341
sce:YDR002W	ko:K15306
sce:YFL024C	ko:K11322
sce:YER177W	ko:K06630
sce:YDR099W	ko:K06630
sce:YBL002W	ko:K11252
sce:YER029C	ko:K11086
sce:YNL030W	ko:K11254
sce:YDR480W	ko:K11242
sce:YNL271C	ko:K11238
sce:YNL283C	ko:K11244
sce:YFL026W	ko:K11213
sce:YHR084W	ko:K11215
sce:YDR118W	ko:K03351
sce:YOR307C	ko:K15283
sce:YCR073C	ko:K11230
sce:YOL102C	ko:K10669
sce:YNL059C	ko:K11672
sce:YKL019W	ko:K05955
sce:YFL013C	ko:K11675
sce:YEL039C	ko:K08738
sce:YDL195W	ko:K14005
sce:YIL010W	ko:K03564
sce:YGR264C	ko:K01874
sce:YGR171C	ko:K01874
sce:YIL144W	ko:K11547
sce:YKL089W	ko:K11497
sce:YLR381W	ko:K11501
sce:YDR254W	ko:K11551
sce:YJL130C	ko:K11541
sce:YDL028C	ko:K08866
sce:YDL142C	ko:K08744
sce:YDR318W	ko:K11552
sce:YDR016C	ko:K11553
sce:YBR211C	ko:K11556
sce:YGR179C	ko:K11555
sce:YGL093W	ko:K11563
sce:YIR010W	ko:K11560
sce:YPL119C	ko:K11594
sce:YOR014W	ko:K11584
sce:YPL064C	ko:K01802
sce:YGL061C	ko:K11570
sce:YGR140W	ko:K11574
sce:YKL138C-A	ko:K11571
sce:YKR037C	ko:K11573
sce:YMR094W	ko:K11576
sce:YMR168C	ko:K11575
sce:YOR073W	ko:K11582
sce:YJR112W	ko:K11562
sce:YMR117C	ko:K11557
sce:YPL233W	ko:K11561
sce:YOL069W	ko:K11548
sce:YOR204W	ko:K11594
sce:YEL018W	ko:K11398
sce:YGR002C	ko:K11324
sce:YDR181C	ko:K11402
sce:YPL015C	ko:K11121
sce:YHR119W	ko:K11422
sce:YHR050W	ko:K12346
sce:YLR034C	ko:K12346
sce:YOL122C	ko:K12346
sce:YDR334W	ko:K11681
sce:YLR292C	ko:K12274
sce:YDL201W	ko:K03439
sce:YLR362W	ko:K11228
sce:YDL051W	ko:K11090
sce:YNL292W	ko:K03177
sce:YKL086W	ko:K12260
sce:YKL154W	ko:K12272
sce:YLR357W	ko:K11756
sce:YLR231C	ko:K01556
sce:YOR128C	ko:K11808
sce:YGL194C	ko:K11483
sce:YDR224C	ko:K11252
sce:YOL012C	ko:K11251
sce:YOL010W	ko:K11108
sce:YPL096C-A	ko:K11002
sce:YLR378C	ko:K10956
sce:YBR283C	ko:K10956
sce:YCR052W	ko:K11760
sce:YJL101C	ko:K11204
sce:YER019C-A	ko:K09481
sce:YLR275W	ko:K11096
sce:YDR483W	ko:K10967
sce:YCR014C	ko:K10981
sce:YGL090W	ko:K10982
sce:YLR265C	ko:K10983
sce:YLR010C	ko:K11116
sce:YBR275C	ko:K11118
sce:YDL208W	ko:K11129
sce:YHR072W-A	ko:K11130
sce:YLR006C	ko:K11233
sce:YJL095W	ko:K11229
sce:YNR031C	ko:K11230
sce:YGR252W	ko:K06062
sce:YBR073W	ko:K10877
sce:YJR086W	ko:K07973
sce:YDR103W	ko:K11239
sce:YNL053W	ko:K11240
sce:YPL049C	ko:K11241
