"Gene Name"	"Accession-1"	"Left-End-Position"	"Right-End-Position"	"Product"	"Pathways of gene"	"Reactions of gene"	"Citations"	"Accession-1"	"Accession-2"
G3O-30379	"tR(UCU)E"	138666	138737	G3O-30379-tRNA	""	""		"tR(UCU)E"	
G3O-30408	"YFL059W"	11363	12259	G3O-30408-MONOMER	""	""		"YFL059W"	
G3O-30083	"tY(GUA)D"	946312	946400	G3O-30083-tRNA	""	""		"tY(GUA)D"	
G3O-30067	"tK(UUU)D"	359577	359672	G3O-30067-tRNA	""	""		"tK(UUU)D"	
G3O-28863	"YAL061W"	33448	34701	G3O-28863-MONOMER	""	""		"YAL061W"	
G3O-29409	"tN(GUU)C"	127716	127789	G3O-29409-tRNA	""	""		"tN(GUU)C"	
G3O-29235	"tE(UUC)B"	645167	645238	G3O-29235-tRNA	""	""		"tE(UUC)B"	
G3O-32347	"YLR238W"	614755	616191	G3O-32347-MONOMER	""	""		"YLR238W"	
G3O-34410	"tV(UAC)Q"	78533	78608	G3O-34410-tRNA	""	""		"tV(UAC)Q"	
G3O-34391	"tD(GUC)Q"	68322	68396	G3O-34391-tRNA	""	""		"tD(GUC)Q"	
G3O-32863	"YMR175W"	611016	611255	G3O-32863-MONOMER	""	""		"YMR175W"	
G3O-32550	"tN(GUU)L"	975983	976056	G3O-32550-tRNA	""	""		"tN(GUU)L"	
G3O-34334	"tE(UUC)P"	210192	210263	G3O-34334-tRNA	""	""		"tE(UUC)P"	
G3O-29343	"YCR028C"	170886	172424	G3O-29343-MONOMER	""	""		"YCR028C"	
G3O-32088	"tV(AAC)K1"	308144	308217	G3O-32088-tRNA	""	""		"tV(AAC)K1"	
G3O-33866	"tM(CAU)O1"	710201	710272	G3O-33866-tRNA	""	""		"tM(CAU)O1"	
G3O-33339	"YNR026C"	673274	674689	G3O-33339-MONOMER	""	""		"YNR026C"	
G3O-31797	"tW(CCA)J"	415931	416036	G3O-31797-tRNA	""	""		"tW(CCA)J"	
G3O-33388	"tL(CAA)N"	443006	443119	G3O-33388-tRNA	""	""		"tL(CAA)N"	
G3O-30843	"YGR138C"	763762	765606	G3O-30843-MONOMER	""	""		"YGR138C"	
G3O-31781	"tE(UUC)J"	115939	116010	G3O-31781-tRNA	""	""		"tE(UUC)J"	
G3O-31258	"tV(CAC)H"	475706	475778	G3O-31258-tRNA	""	""		"tV(CAC)H"	
G3O-33896	"YOL086W-A"	159173	159445	G3O-33896-MONOMER	""	""		"YOL086W-A"	
G3O-30987	"tT(UGU)G2"	1004216	1004287	G3O-30987-tRNA	""	""		"tT(UGU)G2"	
G3O-30971	"tI(AAU)G"	739122	739195	G3O-30971-tRNA	""	""		"tI(AAU)G"	
G3O-31367	"YIL113W"	150559	151188	G3O-31367-MONOMER	""	PROTEIN-TYROSINE-PHOSPHATASE-RXN		"YIL113W"	
G3O-30515	"tY(GUA)F1"	167437	167525	G3O-30515-tRNA	""	""		"tY(GUA)F1"	
G3O-30376	"tQ(UUG)E1"	250286	250357	G3O-30376-tRNA	""	""		"tQ(UUG)E1"	
G3O-29870	"YDR311W"	1085065	1086993	G3O-29870-MONOMER	""	""		"YDR311W"	
G3O-30080	"tV(CAC)D"	1075472	1075544	G3O-30080-tRNA	""	""		"tV(CAC)D"	
G3O-30064	"tI(UAU)D"	884361	884493	G3O-30064-tRNA	""	""		"tI(UAU)D"	
G3O-34374	"Q0060"	13818	19996	G3O-34374-MONOMER	""	""		"Q0060"	
G3O-29406	"tK(CUU)C"	151284	151356	G3O-29406-tRNA	""	""		"tK(CUU)C"	
G3O-28899	"tS(AGA)A"	182522	182603	G3O-28899-tRNA	""	""		"tS(AGA)A"	
G3O-31877	"YKL082C"	281025	282329	G3O-31877-MONOMER	""	""		"YKL082C"	
G3O-34407	"tS(UGA)Q2"	48201	48290	G3O-34407-tRNA	""	""		"tS(UGA)Q2"	
G3O-32996	"tL(CAA)M"	504895	505008	G3O-32996-tRNA	""	""		"tL(CAA)M"	
YJR131W	"YJR131W"	667644	669293	YJR131W-MONOMER	PWY-7918	RXN-18909		"YJR131W"	
G3O-34347	"tW(CCA)P"	56169	56274	G3O-34347-tRNA	""	""		"tW(CCA)P"	
G3O-32547	"tL(UAA)L"	962972	963055	G3O-32547-tRNA	""	""		"tL(UAA)L"	
G3O-30349	"YER087C-B"	332582	332830	G3O-30349-MONOMER	""	""		"YER087C-B"	
G3O-34331	"tA(AGC)P"	856902	856974	G3O-34331-tRNA	""	""		"tA(AGC)P"	
G3O-32085	"tR(ACG)K"	490968	491040	G3O-32085-tRNA	""	""		"tR(ACG)K"	
G3O-28845	"YAL035W"	76427	79435	G3O-28845-MONOMER	""	""		"YAL035W"	
G3O-33863	"tG(GCC)O2"	282164	282234	G3O-33863-tRNA	""	""		"tG(GCC)O2"	
G3O-31794	"tS(AGA)J"	524012	524093	G3O-31794-tRNA	""	""		"tS(AGA)J"	
G3O-32330	"YLR213C"	566654	567922	G3O-32330-MONOMER	""	""		"YLR213C"	
G3O-33385	"tG(UCC)N"	96241	96312	G3O-33385-tRNA	""	""		"tG(UCC)N"	
G3O-31778	"tD(GUC)J2"	355456	355527	G3O-31778-tRNA	""	""		"tD(GUC)J2"	
G3O-32844	"YMR154C"	565999	568182	G3O-32844-MONOMER	""	""		"YMR154C"	
G3O-31255	"tT(AGU)H"	116107	116179	G3O-31255-tRNA	""	""		"tT(AGU)H"	
G3O-30984	"tR(UCU)G3"	736340	736411	G3O-30984-tRNA	""	""		"tR(UCU)G3"	
G3O-29324	"YCR007C"	126011	126730	G3O-29324-MONOMER	""	""		"YCR007C"	
G3O-30968	"tG(UCC)G"	779616	779687	G3O-30968-tRNA	""	""		"tG(UCC)G"	
G3O-30512	"tN(GUU)F"	137486	137559	G3O-30512-tRNA	""	""		"tN(GUU)F"	
G3O-33320	"YNL339C"	371	6098	G3O-33320-MONOMER	""	""		"YNL339C"	
G3O-30373	"tK(CUU)E1"	135425	135497	G3O-30373-tRNA	""	""		"tK(CUU)E1"	
G3O-30077	"tS(AGA)D2"	980974	981055	G3O-30077-tRNA	""	""		"tS(AGA)D2"	
G3O-30822	"YGR113W"	718893	719924	G3O-30822-MONOMER	""	""		"YGR113W"	
G3O-30061	"tG(GCC)D1"	83548	83618	G3O-30061-tRNA	""	""		"tG(GCC)D1"	
G3O-29246	"tV(UAC)B"	326792	326865	G3O-29246-tRNA	""	""		"tV(UAC)B"	
G3O-33837	"YOR369C"	1028194	1028625	G3O-33837-MONOMER	""	""		"YOR369C"	
G3O-28896	"tA(UGC)A"	166267	166339	G3O-28896-tRNA	""	""		"tA(UGC)A"	
G3O-34404	"tR(ACG)Q2"	69289	69362	G3O-34404-tRNA	""	""		"tR(ACG)Q2"	
G3O-31348	"YIL088C"	197931	199403	G3O-31348-MONOMER	""	""		"YIL088C"	
G3O-32993	"tG(GCC)M"	183898	183968	G3O-32993-tRNA	""	""		"tG(GCC)M"	
G3O-34344	"tN(GUU)P"	810676	810749	G3O-34344-tRNA	""	""		"tN(GUU)P"	
G3O-29853	"YDR289C"	1038280	1039509	G3O-29853-MONOMER	""	""		"YDR289C"	
G3O-32544	"tI(UAU)L"	605300	605432	G3O-32544-tRNA	""	""		"tI(UAU)L"	
G3O-33876	"tT(AGU)O2"	354041	354113	G3O-33876-tRNA	""	""		"tT(AGU)O2"	
G3O-34315	"YPR193C"	922909	923379	G3O-34315-MONOMER	""	HISTONE-ACETYLTRANSFERASE-RXN		"YPR193C"	
G3O-32082	"tL(CAA)K"	458557	458670	G3O-32082-tRNA	""	""		"tL(CAA)K"	
G3O-33860	"tD(GUC)O"	571958	572029	G3O-33860-tRNA	""	""		"tD(GUC)O"	
G3O-31856	"YKL057C"	330856	333969	G3O-31856-MONOMER	""	""		"YKL057C"	
G3O-31791	"tR(CCU)J"	538555	538626	G3O-31791-tRNA	""	""		"tR(CCU)J"	
G3O-33008	"tY(GUA)M2"	837928	838016	G3O-33008-tRNA	""	""		"tY(GUA)M2"	
YJL186W	"YJL186W"	80155	81915	YJL186W-MONOMER	""	""		"YJL186W"	
G3O-31469	"tT(AGU)I2"	325748	325820	G3O-31469-tRNA	""	""		"tT(AGU)I2"	
G3O-31252	"tP(UGG)H"	388893	388995	G3O-31252-tRNA	""	""		"tP(UGG)H"	
G3O-30329	"YER168C"	521029	522669	G3O-30329-MONOMER	""	TRNA-CYTIDYLYLTRANSFERASE-RXN		"YER168C"	
G3O-30981	"tN(GUU)G"	731137	731210	G3O-30981-tRNA	""	""		"tN(GUU)G"	
G3O-30965	"tF(GAA)G"	440716	440807	G3O-30965-tRNA	""	""		"tF(GAA)G"	
G3O-28828	"YAL016W"	124879	126786	G3O-28828-MONOMER	""	""		"YAL016W"	
G3O-30509	"tG(GCC)F1"	162228	162298	G3O-30509-tRNA	""	""		"tG(GCC)F1"	
G3O-30370	"tH(GUG)E2"	434541	434612	G3O-30370-tRNA	""	""		"tH(GUG)E2"	
G3O-32313	"YLR191W"	537272	538432	G3O-32313-MONOMER	""	""		"YLR191W"	
G3O-30074	"tR(ACG)D"	619969	620041	G3O-30074-tRNA	""	""		"tR(ACG)D"	
G3O-30058	"tE(CUC)D"	1017207	1017278	G3O-30058-tRNA	""	""		"tE(CUC)D"	
G3O-32825	"YMR132C"	534944	535570	G3O-32825-MONOMER	""	""		"YMR132C"	
G3O-29243	"tR(UCU)B"	405878	405949	G3O-29243-tRNA	""	""		"tR(UCU)B"	
G3O-34401	"tN(GUU)Q"	71433	71503	G3O-34401-tRNA	""	""		"tN(GUU)Q"	
G3O-29303	"YCL048W"	42165	43556	G3O-29303-MONOMER	""	""		"YCL048W"	
G3O-32990	"tD(GUC)M"	463554	463625	G3O-32990-tRNA	""	""		"tD(GUC)M"	
G3O-34341	"tK(CUU)P"	582062	582134	G3O-34341-tRNA	""	""		"tK(CUU)P"	
G3O-33301	"YNL314W"	44447	45214	G3O-33301-MONOMER	""	""		"YNL314W"	
G3O-32541	"tE(UUC)L"	797178	797249	G3O-32541-tRNA	""	""		"tE(UUC)L"	
G3O-33873	"tR(ACG)O"	340299	340371	G3O-33873-tRNA	""	""		"tR(ACG)O"	
G3O-30805	"YGR095C"	675671	676342	G3O-30805-MONOMER	""	""		"YGR095C"	
G3O-32079	"tH(GUG)K"	313401	313472	G3O-32079-tRNA	""	""		"tH(GUG)K"	
G3O-33395	"tT(AGU)N1"	104805	104877	G3O-33395-tRNA	""	""		"tT(AGU)N1"	
G3O-33819	"YOR346W"	981828	984785	G3O-33819-MONOMER	""	""		"YOR346W"	
G3O-31788	"tM(CAU)J2"	422937	423009	G3O-31788-tRNA	""	""		"tM(CAU)J2"	
G3O-33005	"tV(AAC)M3"	586636	586709	G3O-33005-tRNA	""	""		"tV(AAC)M3"	
G3O-31329	"YIL061C"	244657	245559	G3O-31329-MONOMER	""	""		"YIL061C"	
G3O-31466	"tK(CUU)I"	300228	300300	G3O-31466-tRNA	""	""		"tK(CUU)I"	
G3O-31249	"tF(GAA)H1"	237848	237939	G3O-31249-tRNA	""	""		"tF(GAA)H1"	
G3O-29835	"YDR265W"	998864	999877	G3O-29835-MONOMER	""	""		"YDR265W"	
G3O-30978	"tL(CAA)G2"	423092	423205	G3O-30978-tRNA	""	""		"tL(CAA)G2"	
G3O-30962	"tE(UUC)G1"	328583	328654	G3O-30962-tRNA	""	""		"tE(UUC)G1"	
G3O-34298	"YPR171W"	883828	885558	G3O-34298-MONOMER	""	""		"YPR171W"	
G3O-30383	"tV(AAC)E2"	469457	469530	G3O-30383-tRNA	""	""		"tV(AAC)E2"	
G3O-30367	"tE(UUC)E3"	487331	487402	G3O-30367-tRNA	""	""		"tE(UUC)E3"	
G3O-31837	"YKL034W"	371829	374105	G3O-31837-MONOMER	""	""		"YKL034W"	
G3O-30071	"tQ(UUG)D1"	520972	521043	G3O-30071-tRNA	""	""		"tQ(UUG)D1"	
G3O-29413	"tT(AGU)C"	295484	295556	G3O-29413-tRNA	""	""		"tT(AGU)C"	
YJL045W	"YJL045W"	356024	357928	YJL045W-MONOMER	PWY-7279-YEAST // PWY3O-188	SUCCINATE-DEHYDROGENASE-UBIQUINONE6-RXN	"9730279"	"YJL045W"	
G3O-29239	"tL(UAA)B1"	9583	9666	G3O-29239-tRNA	""	""		"tL(UAA)B1"	
G3O-34398	"tL(UAA)Q"	66095	66179	G3O-34398-tRNA	""	""		"tL(UAA)Q"	
G3O-30309	"YER148W"	465303	466025	G3O-30309-MONOMER	""	""		"YER148W"	
G3O-32557	"tV(AAC)L"	687859	687932	G3O-32557-tRNA	""	""		"tV(AAC)L"	
G3O-32554	"tR(CCG)L"	818609	818680	G3O-32554-tRNA	TRNA-CHARGING-PWY	""		"tR(CCG)L"	
G3O-163	"YAL044C"	57950	58462	G3O-28852-MONOMER	GLYCINE-SYN2-PWY // GLYCLEAV-PWY // PWY3O-697 // PWY-2201	GCVMULTI-RXN // GCVP-RXN // GCVT-RXN // RXN-8629		"YAL044C"	
G3O-34338	"tG(GCC)P2"	860379	860449	G3O-34338-tRNA	""	""		"tG(GCC)P2"	
G3O-32538	"tA(UGC)L"	214883	214955	G3O-32538-tRNA	""	""		"tA(UGC)L"	
G3O-32288	"YLR154C"	447982	448314	G3O-32288-MONOMER	""	""		"YLR154C"	
G3O-33870	"tP(UGG)O1"	301097	301198	G3O-33870-tRNA	""	""		"tP(UGG)O1"	
G3O-32076	"tA(AGC)K2"	517988	518060	G3O-32076-tRNA	""	""		"tA(AGC)K2"	
G3O-32806	"YMR110C"	490394	491992	G3O-32806-MONOMER	PWY-5458 // PWY66-21 // ANAPHENOXI-PWY // PWY-7245 // PWY-7269-YEAST // PWY-7269	METHYL-GLYOXAL-DEHYDROG-RXN // RXN66-479 // RXN-8582 // PHENDEHYD-RXN // BENZALDEHYDE-DEHYDROGENASE-NAD+-RXN // RXN-11746 // RXN-12332 // FORMALDEHYDE-DEHYDROGENASE-RXN // 1.2.1.65-RXN // RETINAL-DEHYDROGENASE-RXN // RXN66-3 // RXN-16654 // RXN-16653 // R222-RXN // LACTALDDEHYDROG-RXN // LACTALDEHYDE-OXI-RXN // LONG-CHAIN-ALDEHYDE-DEHYDROGENASE-RXN // RXN66-472 // RXN66-476 // RXN-4142 // ALDHDEHYDROG-RXN		"YMR110C"	
G3O-33392	"tP(AGG)N"	631846	631917	G3O-33392-tRNA	""	""		"tP(AGG)N"	
G3O-31785	"tL(UAA)J"	424432	424515	G3O-31785-tRNA	""	""		"tL(UAA)J"	
G3O-29286	"YCL024W"	79162	82275	G3O-29286-MONOMER	""	PROTEIN-KINASE-RXN		"YCL024W"	
G3O-33002	"tS(AGA)M"	259158	259239	G3O-33002-tRNA	""	""		"tS(AGA)M"	
G3O-31463	"tE(UUC)I"	370417	370488	G3O-31463-tRNA	""	""		"tE(UUC)I"	
G3O-33285	"YNL297C"	71673	76583	G3O-33285-MONOMER	""	""		"YNL297C"	
G3O-30991	"tW(CCA)G1"	287350	287455	G3O-30991-tRNA	""	""		"tW(CCA)G1"	
G3O-30975	"tK(UUU)G1"	115488	115583	G3O-30975-tRNA	""	""		"tK(UUU)G1"	
G3O-30788	"YGR076C"	637104	637577	G3O-30788-MONOMER	""	""		"YGR076C"	
G3O-30959	"tC(GCA)G"	707108	707179	G3O-30959-tRNA	""	""		"tC(GCA)G"	
G3O-30380	"tS(AGA)E"	86604	86685	G3O-30380-tRNA	""	""		"tS(AGA)E"	
G3O-33801	"YOR322C"	918606	921062	G3O-33801-MONOMER	""	""		"YOR322C"	
G3O-30364	"tA(UGC)E"	312023	312095	G3O-30364-tRNA	""	""		"tA(UGC)E"	
G3O-30068	"tL(CAA)D"	1461715	1461829	G3O-30068-tRNA	""	""		"tL(CAA)D"	
G3O-31309	"YIL037C"	283029	284999	G3O-31309-MONOMER	""	""		"YIL037C"	
G3O-29410	"tP(AGG)C"	123577	123648	G3O-29410-tRNA	""	""		"tP(AGG)C"	
G3O-29236	"tF(GAA)B"	36398	36488	G3O-29236-tRNA	""	""		"tF(GAA)B"	
G3O-29816	"YDR243C"	948518	950284	G3O-29816-MONOMER	""	""		"YDR243C"	
G3O-34411	"tW(UCA)Q"	9374	9447	G3O-34411-tRNA	""	""		"tW(UCA)Q"	
G3O-34395	"tH(GUG)Q"	64596	64670	G3O-34395-tRNA	""	""		"tH(GUG)Q"	
G3O-34281	"YPR149W"	829918	830439	G3O-34281-MONOMER	""	""		"YPR149W"	
G3O-30102	"YDR316W-B"	1096064	1101332	G3O-30102-RNA	""	""		"YDR316W-B"	
G3O-29428	"MAL2"			G3O-29428-RNA	""	""		"MAL2"	
G3O-31819	"YKL010C"	421424	425875	G3O-31819-MONOMER	""	""		"YKL010C"	
G3O-29221	"YBL100W-A"	29935	31251	G3O-29221-RNA	""	""		"YBL100W-A"	
G3O-34353	"YPR137C-B"	805001	810269	G3O-34353-RNA	""	""		"YPR137C-B"	
YIL164C	"YIL164C"	34087	34686	YIL164C-MONOMER	PWY-5026	RXN-1404 // 3.5.5.1-RXN		"YIL164C"	
G3O-33890	"YOR142W-B"	595112	600380	G3O-33890-RNA	""	""		"YOR142W-B"	
G3O-33404	"NME1"	585587	585926	G3O-33404-RNA	""	""		"NME1"	
G3O-30291	"YER128W"	415859	416470	G3O-30291-MONOMER	""	""		"YER128W"	
G3O-33017	"snR77"	297506	297593	G3O-33017-RNA	""	""		"snR77"	
G3O-32569	"snR30"	198784	199389	G3O-32569-RNA	""	""		"snR30"	
G3O-32270	"YLR128W"	398530	399433	G3O-32270-MONOMER	""	""		"YLR128W"	
G3O-32105	"snR87"	431030	431138	G3O-32105-RNA	""	""		"snR87"	
G3O-31664	"YJR026W"	472760	474082	G3O-31664-RNA	""	""		"YJR026W"	
G3O-32787	"YMR087W"	442527	443381	G3O-32787-MONOMER	""	""		"YMR087W"	
G3O-31246	"YHR214C-B"	543964	549346	G3O-31246-RNA	""	""		"YHR214C-B"	
G3O-30956	"snR46"	545370	545566	G3O-30956-RNA	""	""		"snR46"	
G3O-29229	"YBR089C-A"	426190	426489	G3O-29229-MONOMER	""	""		"YBR089C-A"	
G3O-30362	"snR4"	424698	424883	G3O-30362-RNA	""	""		"snR4"	
G3O-30099	"YDR261W-A"	981462	982778	G3O-30099-RNA	""	""		"YDR261W-A"	
G3O-33267	"YNL273W"	122883	126599	G3O-33267-MONOMER	""	""		"YNL273W"	
G3O-29403	"snR43"	107504	107712	G3O-29403-RNA	""	""		"snR43"	
G3O-28906	"HRA1"	99305	99868	G3O-28906-RNA	""	""		"HRA1"	
G3O-30769	"YGR052W"	593596	594705	G3O-30769-MONOMER	""	""		"YGR052W"	
G3O-34350	"YPL257W-A"	56748	58070	G3O-34350-RNA	""	""		"YPL257W-A"	
G3O-33887	"YOL103W-A"	118000	119322	G3O-33887-RNA	""	""		"YOL103W-A"	
G3O-33784	"YOR299W"	878435	880675	G3O-33784-MONOMER	""	""		"YOR299W"	
G3O-33400	"YNL054W-A"	519456	520778	G3O-33400-RNA	""	""		"YNL054W-A"	
G3O-33014	"snR74"	298138	298225	G3O-33014-RNA	""	""		"snR74"	
G3O-31291	"YIL015W"	322342	324105	G3O-31291-MONOMER	""	3.4.23.35-RXN		"YIL015W"	
G3O-32566	"YLR256W-A"	651117	652439	G3O-32566-RNA	""	""		"YLR256W-A"	
G3O-32093	"snR38"	283185	283279	G3O-32093-RNA	""	""		"snR38"	
G3O-29798	"YDR217C"	899551	903480	G3O-29798-MONOMER	""	""		"YDR217C"	
G3O-31480	"PWR1"	395999	396939	G3O-31480-RNA	""	""		"PWR1"	
G3O-31005	"snR10"	345986	346230	G3O-31005-RNA	""	""		"snR10"	
G3O-34262	"YPR124W"	786208	787428	G3O-34262-MONOMER	""	""		"YPR124W"	
G3O-30953	"snR48"	609584	609696	G3O-30953-RNA	""	""		"snR48"	
G3O-30359	"snR67"	61352	61433	G3O-30359-RNA	""	""		"snR67"	
G3O-31761	"YJR147W"	704196	705272	G3O-31761-MONOMER	""	""		"YJR147W"	
G3O-30096	"YDR210W-B"	872112	877425	G3O-30096-RNA	""	""		"YDR210W-B"	
G3O-29284	"YCL019W"	85102	90415	G3O-29284-RNA	""	""		"YCL019W"	
YIL010W	"YIL010W"	334882	335529	YIL010W-MONOMER	""	1.11.1.15-RXN // RXN-19953 // RXN-19954 // RXN0-5468		"YIL010W"	
G3O-28871	"YAR009C"	160597	164187	G3O-28871-RNA	""	""		"YAR009C"	
G3O-42691	"IRT1"	605936	607424	G3O-42691-RNA	""	""		"IRT1"	
G3O-30274	"YER110C"	378762	382103	G3O-30274-MONOMER	""	""		"YER110C"	
G3O-34329	"snR70"	718887	719050	G3O-34329-RNA	""	""		"snR70"	
G3O-33883	"snR31"	841958	842182	G3O-33883-RNA	""	""		"snR31"	
G3O-32250	"YLR102C"	342970	343767	G3O-32250-MONOMER	""	""		"YLR102C"	
G3O-33382	"snR66"	586090	586175	G3O-33382-RNA	""	""		"snR66"	
G3O-33011	"snR11"	652275	652532	G3O-33011-RNA	""	""		"snR11"	
G3O-32769	"YMR067C"	404323	405573	G3O-32769-MONOMER	""	""		"YMR067C"	
G3O-32563	"YLR157C-B"	476333	481601	G3O-32563-RNA	""	""		"YLR157C-B"	
G3O-32072	"snR64"	38811	38911	G3O-32072-RNA	""	""		"snR64"	
G3O-29203	"YBR283C"	768943	770415	G3O-29203-MONOMER	""	""		"YBR283C"	
G3O-31459	"snR68"	97111	97246	G3O-31459-RNA	""	""		"snR68"	
G3O-31002	"YGR027W-B"	536057	541325	G3O-31002-RNA	""	""		"YGR027W-B"	
G3O-33251	"YNL254C"	168043	169248	G3O-33251-MONOMER	""	""		"YNL254C"	
G3O-30523	"RUF21"	57815	58521	G3O-30523-RNA	""	""		"RUF21"	
G3O-30321	"YER160C"	492856	498124	G3O-30321-RNA	""	""		"YER160C"	
G3O-30748	"YGR023W"	529264	530919	G3O-30748-MONOMER	""	""		"YGR023W"	
G3O-30093	"YDR098C-A"	649804	651126	G3O-30093-RNA	""	""		"YDR098C-A"	
G3O-29270	"SUC3"			G3O-29270-RNA	""	""		"SUC3"	
G3O-33763	"YOR273C"	834452	836431	G3O-33763-MONOMER	""	""		"YOR273C"	
G3O-34413	"RPM1"	85295	85777	G3O-34413-RNA	""	3.1.26.5-RXN // RXN0-6480		"RPM1"	
G3O-33919	"XDH1"			G3O-33919-RNA	""	""		"XDH1"	
G3O-31242	"YHR039C-A"	187173	187679	G3O-31242-MONOMER	""	ATPSYN-RXN		"YHR039C-A"	
G3O-33880	"snR5"	842403	842606	G3O-33880-RNA	""	""		"snR5"	
G3O-33040	"snR85"	67768	67938	G3O-33040-RNA	""	""		"snR85"	
G3O-29782	"YDR195W"	848599	850200	G3O-29782-MONOMER	""	""		"YDR195W"	
G3O-32755	"YMR050C"	373057	378325	G3O-32755-RNA	""	""		"YMR050C"	
G3O-32558	"YLR035C-A"	215440	218907	G3O-32558-RNA	""	""		"YLR035C-A"	
G3O-34244	"YPR104C"	733623	736433	G3O-34244-MONOMER	""	""		"YPR104C"	
G3O-31774	"snR128"	139566	139691	G3O-31774-RNA	""	""		"snR128"	
G3O-31266	"RUF5-2"	214407	215116	G3O-31266-RNA	""	""		"RUF5-2"	
G3O-31739	"YJR118C"	643490	644101	G3O-31739-MONOMER	""	""		"YJR118C"	
G3O-30999	"YGR161W-A"	811738	813054	G3O-30999-RNA	""	""		"YGR161W-A"	
G3O-30517	"YFL002W-B"	138204	139520	G3O-30517-RNA	""	""		"YFL002W-B"	
YHR104W	"YHR104W"	323409	324392	YHR104W-MONOMER	PWY-5516	RXN-12078 // RXN-8772 // RXN-8773 // ALDEHYDE-REDUCTASE-RXN		"YHR104W"	
G3O-30124	"MEL5"			G3O-30124-RNA	""	""		"MEL5"	
G3O-30084	"YDR170W-A"	803195	804517	G3O-30084-RNA	""	""		"YDR170W-A"	
G3O-30258	"YER089C"	335946	337340	G3O-30258-MONOMER	""	3.1.3.16-RXN		"YER089C"	
G3O-29231	"snR56"	88190	88277	G3O-29231-RNA	""	""		"snR56"	
G3O-34357	"YPR158W-B"	844709	849980	G3O-34357-RNA	""	""		"YPR158W-B"	
G3O-32234	"YLR083C"	294091	296094	G3O-32234-MONOMER	""	""		"YLR083C"	
G3O-33894	"YOR343W-B"	970578	975891	G3O-33894-RNA	""	""		"YOR343W-B"	
G3O-33856	"snR58"	136088	136183	G3O-33856-RNA	""	""		"snR58"	
G3O-32748	"YMR043W"	353871	354731	G3O-32748-MONOMER	""	""		"YMR043W"	
G3O-33024	"snR83"	626349	626654	G3O-33024-RNA	""	""		"snR83"	
G3O-32642	"YML045W"	184461	189729	G3O-32642-RNA	""	""		"YML045W"	
G3O-29187	"YBR264C"	737770	738369	G3O-29187-MONOMER	""	""		"YBR264C"	
G3O-32534	"snR6"	366235	366346	G3O-32534-RNA	""	""		"snR6"	
G3O-31771	"snR60"	349130	349233	G3O-31771-RNA	""	""		"snR60"	
G3O-33235	"YNL236W"	206930	209854	G3O-33235-MONOMER	""	""		"YNL236W"	
G3O-31261	"YHL009W-B"	85909	91318	G3O-31261-RNA	""	""		"YHL009W-B"	
G3O-30996	"YGR109W-B"	707610	712254	G3O-30996-RNA	""	""		"YGR109W-B"	
G3O-30725	"YGL257C"	12481	14157	G3O-30725-MONOMER	PWY-7921	RXN-19017		"YGL257C"	
G3O-30398	"SRG1"	322212	322762	G3O-30398-RNA	""	""		"SRG1"	
G3O-30106	"YDR210C-D"	878659	883927	G3O-30106-RNA	""	""		"YDR210C-D"	
G3O-33745	"YOR254C"	805032	807023	G3O-33745-MONOMER	""	""		"YOR254C"	
G3O-30053	"snR63"	323217	323471	G3O-30053-RNA	""	""		"snR63"	
G3O-29222	"YBL100W-B"	29935	35248	G3O-29222-RNA	""	""		"YBL100W-B"	
G3O-31222	"YHR194W"	488657	490396	G3O-31222-MONOMER	""	""		"YHR194W"	
G3O-34354	"YPR158C-C"	854935	856257	G3O-34354-RNA	""	""		"YPR158C-C"	
G3O-33891	"YOR192C-A"	708416	709732	G3O-33891-RNA	""	""		"YOR192C-A"	
G3O-29764	"YDR175C"	813193	814152	G3O-29764-MONOMER	""	""		"YDR175C"	
G3O-33405	"snR49"	716120	716284	G3O-33405-RNA	""	""		"snR49"	
G3O-33018	"snR78"	297278	297364	G3O-33018-RNA	""	""		"snR78"	
G3O-34224	"YPR080W"	700594	701970	G3O-34224-MONOMER	""	""		"YPR080W"	
G3O-32592	"MEL10"			G3O-32592-RNA	""	""		"MEL10"	
G3O-32520	"snR55"	794697	794794	G3O-32520-RNA	""	""		"snR55"	
G3O-31718	"YJR091C"	595061	598336	G3O-31718-MONOMER	""	""		"YJR091C"	
G3O-31665	"YJR027W"	472760	478028	G3O-31665-RNA	""	""		"YJR027W"	
G3O-31247	"snR71"	411228	411317	G3O-31247-RNA	""	""		"snR71"	
YHR007C	"YHR007C"	120091	121683	YHR007C-MONOMER	ERGOSTEROL-SYN-PWY // PWY-6074	RXN3O-130 // RXN66-303 // RXN66-304 // RXN66-305		"YHR007C"	
G3O-30993	"snR39"	365163	365251	G3O-30993-RNA	""	""		"snR39"	
G3O-30363	"snR14"	167427	167586	G3O-30363-RNA	""	""		"snR14"	
G3O-30236	"YER059W"	272624	273886	G3O-30236-MONOMER	""	""		"YER059W"	
G3O-30103	"YDR365W-A"	1206997	1208319	G3O-30103-RNA	""	""		"YDR365W-A"	
G3O-30100	"YDR261W-B"	981462	986775	G3O-30100-RNA	""	""		"YDR261W-B"	
G3O-32217	"YLR064W"	265456	266277	G3O-32217-MONOMER	""	""		"YLR064W"	
G3O-29417	"snR33"	142364	142546	G3O-29417-RNA	""	""		"snR33"	
G3O-29219	"YBL005W-A"	221330	222652	G3O-29219-RNA	""	""		"YBL005W-A"	
