"Pathways"	"Common-Name"
SALVADEHYPOX-PWY	"adenosine nucleotides degradation II"
KDO-LIPASYN-PWY	"(Kdo)<sub>2</sub>-lipid A biosynthesis I (E. coli)"
PWY-6617	"adenosine nucleotides degradation III"
KDO-NAGLIPASYN-PWY	"superpathway of (Kdo)<SUB>2</SUB>-lipid A biosynthesis"
PWY-6596	"adenosine nucleotides degradation I"
LIPA-CORESYN-PWY	"lipid A-core biosynthesis (<i>E. coli</i> K-12)"
LPSSYN-PWY	"superpathway of lipopolysaccharide biosynthesis"
NAGLIPASYN-PWY	"lipid IV<sub>A</sub> biosynthesis (E. coli)"
PWY-282	"cuticular wax biosynthesis"
PWY-321	"cutin biosynthesis"
PWY-4762	"superpathway of choline biosynthesis"
PWY-5142	"acyl-[acyl-carrier protein] thioesterase pathway"
PWY-7962	"adenosylcobinamide-GDP biosynthesis from cobyrinate <i>a,c</i>-diamide"
PWY-5143	"long-chain fatty acid activation"
PWY-5148	"acyl-CoA hydrolysis"
PWY-7964	"adeninyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP"
PWY-81	"toluene degradation to benzoyl-CoA (anaerobic)"
PWY-5670	"epoxysqualene biosynthesis"
PWY-7967	"5-methoxybenzimidazolyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP"
TOLUENE-DEG-4-OH-PWY	"toluene degradation to 4-methylphenol"
PWY-5884	"wax esters biosynthesis I"
PWY-7970	"benzimidazolyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP"
PWY-7703	"2,4-xylenol degradation to protocatechuate"
PWY-5885	"wax esters biosynthesis II"
PWY-7963	"4-methylphenyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP"
TOLUENE-DEG-3-OH-PWY	"toluene degradation to 2-hydroxypentadienoate (<I>via 4-methylcatechol</i>)"
PWY-6129	"dolichol and dolichyl phosphate biosynthesis"
PWY-7966	"5-methoxy-6-methylbenzimidazolyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP"
TOLUENE-DEG-DIOL-PWY	"toluene degradation to 2-hydroxypentadienoate (<I>via</I> toluene-<I>cis</I>-diol)"
PWY-6453	"stigma estolide biosynthesis"
PWY-7969	"5-hydroxybenzimidazolyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP"
PWY-7700	"4-methylphenol degradation to protocatechuate"
PWY-6803	"phosphatidylcholine acyl editing"
PWY-7961	"phenyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP"
PWY-6957	"mandelate degradation to acetyl-CoA"
PWY-1501	"mandelate degradation I"
TOLUENE-DEG-2-OH-PWY	"toluene degradation to 2-hydroxypentadienoate I (<I>via</I> <i>o</I>-cresol)"
PWY-6804	"diacylglycerol biosynthesis (PUFA enrichment in oilseed)"
PWY-7965	"2-methyladeninyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP"
TOLUENE-DEG-CATECHOL-PWY	"toluene degradation to benzoate"
PWY-6818	"ornithine lipid biosynthesis"
PWY-7968	"5-methylbenzimidazolyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP"
PWY-7420	"monoacylglycerol metabolism (yeast)"
PWY-7975	"adenosylcobalamin biosynthesis from adenosylcobinamide-GDP II"
CARNMET-PWY	"L-carnitine degradation I"
PWY-5359	"tetrathionate reductiuon II (to trithionate)"
PWY-7740	"&beta;-D-mannosyl phosphomycoketide biosynthesis"
PWY-5509	"adenosylcobalamin biosynthesis from adenosylcobinamide-GDP I"
PWY-7471	"D-carnitine degradation I"
PWY-3641	"L-carnitine degradation III"
PWY-7741	"phthiocerol biosynthesis"
PWY-3602	"L-carnitine degradation II"
PWY-7472	"D-carnitine degradation II"
PWY-7742	"phenolphthiocerol biosynthesis"
PWY-7041	"the visual cycle II (molluscs)"
PWY-7743	"dimycocerosyl triglycosyl phenolphthiocerol biosynthesis"
PWY-6861	"the visual cycle I (vertebrates)"
PWY-7744	"dimycocerosyl phthiocerol biosynthesis"
PWY-7043	"11-<i>cis</i>-3-hydroxyretinal biosynthesis"
PWY-7745	"p-HBAD biosynthesis"
PWY-7042	"the visual cycle (insects)"
PWY-7746	"mycobacterial sulfolipid biosynthesis"
PWY-6538	"caffeine degradation III (bacteria, via demethylation)"
PWY-6632	"caffeine degradation IV (bacteria, via demethylation and oxidation)"
PWY-8073	"lipid IV<sub>A</sub> biosynthesis (<i>P. putida</i>)"
PWY-6553	"caffeine degradation II"
PWY-6552	"caffeine degradation I (main, plants)"
PWY-8075	"(Kdo)<sub>2</sub>-lipid A biosynthesis II (<i>P. putida</i>)"
PWY-6633	"caffeine degradation V (bacteria, via trimethylurate)"
PWY-8082	"glycine lipid biosynthesis"
PWY0-1264	"biotin-carboxyl carrier protein assembly"
PWY3DJ-11281	"sphingomyelin metabolism"
PWYQT-4427	"sulfoquinovosyl diacylglycerol biosynthesis"
PWY-6971	"oleandomycin biosynthesis"
PWY-8071	"<i>N</i>-3-oxalyl-L-2,3-diaminopropanoate biosynthesis"
PWY-7106	"erythromycin D biosynthesis"
SOPHOROSYLOXYDOCOSANOATE-SYN-PWY	"sophorolipid biosynthesis"
PWY-7110	"superpathway of megalomicin A biosynthesis"
PWY-7421	"narbomycin, pikromycin and novapikromycin biosynthesis"
TRIGLSYN-PWY	"diacylglycerol and triacylglycerol biosynthesis"
PWY-7677	"rosamicin biosynthesis"
PWY-6977	"superpathway of erythromycin biosynthesis"
PWY-7109	"megalomicin A biosynthesis"
PWY-7415	"tylosin biosynthesis"
PWY-7624	"nystatin biosynthesis"
PWY-6975	"superpathway of erythromycin biosynthesis (without sugar biosynthesis)"
PWY-7108	"erythromycin A biosynthesis"
PWY-7412	"mycinamicin biosynthesis"
PWY-7422	"methymycin, neomethymycin and novamethymycin biosynthesis"
FASYN-ELONG-PWY	"fatty acid elongation -- saturated"
PWY-5407	"9-lipoxygenase and 9-allene oxide synthase pathway"
PWY-5408	"9-lipoxygenase and 9-hydroperoxide lyase pathway"
PWY-5410	"traumatin and (<i>Z</i>)-3-hexen-1-yl acetate biosynthesis"
FASYN-INITIAL-PWY	"superpathway of fatty acid biosynthesis initiation (E. coli)"
PWY-5433	"superpathway of lipoxygenase"
PWY-735	"jasmonic acid biosynthesis"
PWY-5409	"divinyl ether biosynthesis II"
PWY-5406	"divinyl ether biosynthesis I"
PWY-5080	"very long chain fatty acid biosynthesis I"
PWY-5156	"superpathway of fatty acid biosynthesis II (plant)"
PWY-7585	"docosahexaenoate biosynthesis II (bacteria)"
PWY-7053	"docosahexaenoate biosynthesis I (lower eukaryotes)"
PWY-6113	"superpathway of mycolate biosynthesis"
PWY-7727	"docosahexaenoate biosynthesis IV (4-desaturase, mammals)"
PWY-5996	"oleate biosynthesis II (animals and fungi)"
PWY-7606	"docosahexaenoate biosynthesis III (6-desaturase, mammals)"
PWY-5147	"oleate biosynthesis I (plants)"
ARABCAT-PWY	"L-arabinose degradation I"
PWY-6285	"superpathway of fatty acids biosynthesis (<i>E. coli</i>)"
PWY-7664	"oleate biosynthesis IV (anaerobic)"
PWY-7295	"L-arabinose degradation IV"
PWY-7587	"oleate biosynthesis III (cyanobacteria)"
PWY-5517	"L-arabinose degradation III"
PWY-7036	"very long chain fatty acid biosynthesis II"
PWY-5515	"L-arabinose degradation II"
PWY-7094	"fatty acid salvage"
PWY-7388	"octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast)"
PWY-8041	"ultra-long-chain fatty acid biosynthesis"
PWY-6962	"superpathway of trimethylamine degradation"
PWY0-881	"superpathway of fatty acid biosynthesis I (E. coli)"
PWY-7431	"aromatic biogenic amine degradation (bacteria)"
PWY66-430	"myristate biosynthesis (mitochondria)"
PWY6666-2	"dopamine degradation"
PWYG-321	"mycolate biosynthesis"
GLCMANNANAUT-PWY	"superpathway of <i>N</i>-acetylglucosamine, <i>N</i>-acetylmannosamine and <i>N</i>-acetylneuraminate degradation"
PWY-5475	"pentagalloylglucose biosynthesis"
PWY8J2-22	"kanosamine biosynthesis II"
PWY-5478	"superpathway of hydrolyzable tannin biosynthesis"
PWY-3621	"&gamma;-butyrobetaine degradation"
PWY-5476	"cornusiin E biosynthesis"
PWY-5978	"kanosamine biosynthesis I"
PWY-6181	"histamine degradation"
PWY-7242	"D-fructuronate degradation"
PWY0-1306	"L-galactonate degradation"
PWY-7085	"triethylamine degradation"
KETOGLUCONMET-PWY	"ketogluconate metabolism"
PWY-7566	"L-gulonate degradation"
GLUAMCAT-PWY	"<i>N</i>-acetylglucosamine degradation I"
IDNCAT-PWY	"L-idonate degradation"
PWY-7516	"L-lyxonate degradation"
PWY-6517	"<i>N</i>-acetylglucosamine degradation II"
GALACTCAT-PWY	"D-galactonate degradation"
PWY0-1477	"ethanolamine utilization"
PWY-6501	"D-glucuronate degradation II"
PWY-5525	"D-glucuronate degradation I"
GLUCUROCAT-PWY	"superpathway of &beta;-D-glucuronosides degradation"
P561-PWY	"proline betaine degradation"
PWY-7247	"&beta;-D-glucuronide and D-glucuronate degradation"
PWY-6071	"superpathway of phenylethylamine degradation"
PWY-6733	"sporopollenin precursors biosynthesis"
PWY-1121	"suberin monomers biosynthesis"
PWY-7120	"esterified suberin biosynthesis"
PWY-5428	"1,3-dimethylbenzene degradation to 3-methylbenzoate"
PWY-6968	"trimethylamine degradation"
PWY-7944	"bacterioruberin biosynthesis"
PWY-4961	"&beta;-pyrazole-1-ylalanine biosynthesis"
PWY-5429	"1,4-dimethylbenzene degradation to 4-methylbenzoate"
PWY18HP-2	"decaprenoxanthin diglucoside biosynthesis"
PWY-5021	"willardiine and isowillardiine biosynthesis"
PWY-7855	"ectoine degradation"
PWY-7946	"sarcinaxanthin diglucoside biosynthesis"
PWY-1	"lathyrine biosynthesis"
GLUCARDEG-PWY	"<i>D</i>-glucarate degradation I"
PWY-7945	"2,2'-bis-(4-hydroxy-3-methybut-2-enyl)-&beta;,&beta;-carotene monoglucoside biosynthesis"
PWY-6499	"D-glucarate degradation II"
GALACTUROCAT-PWY	"D-galacturonate degradation I"
PWY-5	"canavanine biosynthesis"
PWY-6491	"D-galacturonate degradation III"
PWY-4985	"mimosine biosynthesis"
PWY-6486	"D-galacturonate degradation II"
PWY-5361	"(5<i>Z</i>)-icosenoate biosynthesis"
ORNDEG-PWY	"superpathway of ornithine degradation"
PWY-5110	"trigonelline biosynthesis"
PWY-5736	"isopropylamine degradation"
PWY-1722	"formate assimilation into 5,10-methylenetetrahydrofolate"
PWY-5973	"<i>cis</i>-vaccenate biosynthesis"
PWY-1882	"superpathway of C1 compounds oxidation to CO<sub>2</sub>"
PWY-6497	"D-galactarate degradation II"
GALACTARDEG-PWY	"D-galactarate degradation I"
PWY-7663	"gondoate biosynthesis (anaerobic)"
PWY-7686	"L-malate degradation II"
CO2FORM-PWY	"methanogenesis from methanol"
PWY-5691	"urate conversion to allantoin I"
PWY-5367	"petroselinate biosynthesis"
PWY-1881	"formate oxidation to CO<sub>2</sub>"
PWY-7849	"urate conversion to allantoin III"
PWY-7618	"ricinoleate biosynthesis"
ECASYN-PWY	"enterobacterial common antigen biosynthesis"
PWY-7750	"carbon monoxide oxidation to CO<sub>2</sub>"
DARABCAT-PWY	"D-arabinose degradation II"
PWY-6467	"Kdo transfer to lipid IV<SUB>A</SUB> III (Chlamydia)"
PWY-7394	"urate conversion to allantoin II"
PWY-5362	"sapienate biosynthesis"
DARABCATK12-PWY	"D-arabinose degradation I"
PWY-8074	"Kdo transfer to lipid IV<sub>A</sub> IV (<i>P. putida</i>)"
PWY0-1535	"D-serine degradation"
PWY-5519	"D-arabinose degradation III"
PWY-6422	"D-arginine degradation"
KDOSYN-PWY	"Kdo transfer to lipid IV<sub>A</sub> I (E. coli)"
PWY66-428	"L-threonine degradation V"
PWY-6284	"superpathway of unsaturated fatty acids biosynthesis (<i>E. coli</i>)"
PWY-7676	"Kdo8N transfer to lipid IV<sub>A</sub>"
PWY-7675	"Kdo transfer to lipid IV<sub>A</sub> II (Haemophilus)"
THREONINE-DEG2-PWY	"L-threonine degradation II"
PWY-7691	"10,13-epoxy-11-methyl-octadecadienoate biosynthesis"
GLUTORN-PWY	"L-ornithine biosynthesis I"
PWY18C3-21	"phenylpropanoid volatiles glycoconjugation (tomato)"
ARGININE-SYN4-PWY	"L-ornithine biosynthesis II"
PWY-5437	"L-threonine degradation I"
PWY0-862	"(5Z)-dodecenoate biosynthesis I"
PWY-6922	"L-<i>N<sup>&delta;</sup></i>-acetylornithine biosynthesis"
PWY-4421	"curcumin glucoside biosynthesis"
PWY-5436	"L-threonine degradation IV"
PWY-7858	"(5Z)-dodecenoate biosynthesis II"
BENZCOA-PWY	"anaerobic aromatic compound degradation (<i>Thauera aromatica</i>)"
PWY-6673	"caffeoylglucarate biosynthesis"
THRDLCTCAT-PWY	"L-threonine degradation III (to methylglyoxal)"
PWY-6013	"crepenynate biosynthesis"
PWY-5450	"benzene degradation"
PWY-7468	"benzoyl-&beta;-<i>D</i>-glucopyranose biosynthesis"
UDPNAGSYN-PWY	"UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis I"
PWY-7641	"5-hexynoate biosynthesis"
PWY-6956	"naphthalene degradation to acetyl-CoA"
PWY-7682	"arabidopyrone biosynthesis"
UDPNACETYLGALSYN-PWY	"UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis II"
PWY-6603	"dicranin biosynthesis"
PWY-7825	"juglone degradation"
PWY-5882	"epoxypseudoisoeugenol-2-methylbutanoate biosynthesis"
TRPSYN-PWY	"L-tryptophan biosynthesis"
P342-PWY	"orcinol degradation"
PWY-6835	"6-gingerol biosynthesis"
PWY-6182	"superpathway of salicylate degradation"
PWY-7643	"coniferyl alcohol 9-methyl ester biosynthesis"
PWY-7008	"2-hydroxybiphenyl degradation"
PWY18C3-25	"superpathway of methylsalicylate metabolism"
PWY-5350	"thiosulfate disproportionation IV (rhodanese)"
PWY-8065	"chlorpyrifos degradation"
PWY-6801	"volatile esters biosynthesis (during fruit ripening)"
P661-PWY	"dibenzo-<I>p</I>-dioxin degradation"
PWY-7498	"phenylpropanoids methylation (ice plant)"
PWY-6233	"jasmonoyl-amino acid conjugates biosynthesis II"
PWY-6210	"2-aminophenol degradation"
PWY-6220	"jasmonoyl-amino acid conjugates biosynthesis I"
PWY-7011	"2-isopropylphenol degradation"
PWY-5675	"nitrate reduction V (assimilatory)"
PWY5F9-3233	"phthalate degradation (aerobic)"
PWY-381	"nitrate reduction II (assimilatory)"
PWY490-3	"nitrate reduction VI (assimilatory)"
PWY-8018	"itaconate biosynthesis II"
PWY-142	"<i>m</i>-xylene degradation (anaerobic)"
PWY-5750	"itaconate biosynthesis I"
PWY-7941	"isorenieratene biosynthesis II (<i>Chlorobiaceae</i>)"
PWY-6532	"diphenylamine degradation"
PWY-7938	"isorenieratene biosynthesis I (actinobacteria)"
PWY-741	"<I>p</I>-cymene degradation to <I>p</I>-cumate"
2ASDEG-PWY	"orthanilate degradation"
PWY-5062	"superpathway of nicotinate degradation"
PWY-6781	"chlorogenic acid degradation"
PWY-7557	"(-)-dehydrodiconiferyl alcohol degradation"
4TOLCARBDEG-PWY	"4-toluenecarboxylate degradation"
GLYCOLYSIS-E-D	"superpathway of glycolysis and the Entner-Doudoroff pathway"
PWY-5273	"<i>p</i>-cumate degradation"
PWY-6029	"2,3-<i>trans</i>-flavanols biosynthesis"
GLYCOLYSIS-TCA-GLYOX-BYPASS	"superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass"
PWY-6954	"superpathway of aromatic compound degradation via 2-hydroxypentadienoate"
PWY-6232	"chrysoeriol biosynthesis"
GLYOXYLATE-BYPASS	"glyoxylate cycle"
PWY-7795	"terephthalate degradation"
PWY-6325	"echinatin biosynthesis"
PWY-6590	"superpathway of <i>Clostridium acetobutylicum</i> acidogenic fermentation"
PWY-3041	"monoterpene biosynthesis"
METHYLGALLATE-DEGRADATION-PWY	"methylgallate degradation"
PWY-6515	"phloridzin biosynthesis"
PWY-6863	"pyruvate fermentation to hexanol (engineered)"
PWY-5197	"lactate biosynthesis (archaea)"
PWY-5490	"paraoxon degradation"
PWY-6787	"flavonoid biosynthesis (in equisetum)"
PWY4LZ-257	"superpathway of fermentation (<i>Chlamydomonas reinhardtii</i>)"
PWY-5277	"thiosulfate disproportionation I (thiol-dependent)"
PWY-7006	"4-amino-3-hydroxybenzoate degradation"
PWY-7397	"naringenin biosynthesis (engineered)"
PWY-6588	"pyruvate fermentation to acetone"
PWY-5306	"superpathway of thiosulfate metabolism (<i>Desulfovibrio sulfodismutans</i>)"
PWY-7982	"pinoresinol degradation"
PWY-7897	"flavonoid di-C-glucosylation"
PWY-6604	"superpathway of <i>Clostridium acetobutylicum</i> acidogenic and solventogenic fermentation"
PWY-5352	"thiosulfate disproportionation II (cytochrome)"
P345-PWY	"aldoxime degradation"
PWY1F-FLAVSYN	"flavonoid biosynthesis"
PWY-7351	"pyruvate fermentation to opines"
PWY-5464	"superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle"
PWY-6185	"4-methylcatechol degradation (<i>ortho</i> cleavage)"
PWY-6940	"icosapentaenoate biosynthesis VI (fungi)"
PWY-7259	"pelargonidin diglucoside biosynthesis (acyl-glucose dependent)"
PWY-7050	"icosapentaenoate biosynthesis IV (bacteria)"
PWY-7049	"icosapentaenoate biosynthesis II (6-desaturase, mammals)"
CENTFERM-PWY	"pyruvate fermentation to butanoate"
PWY-7724	"icosapentaenoate biosynthesis III (8-desaturase, mammals)"
PWY-561	"superpathway of glyoxylate cycle and fatty acid degradation"
PWY-7010	"2-propylphenol degradation"
PWY-6958	"icosapentaenoate biosynthesis I (lower eukaryotes)"
PWY-5153	"anthocyanin biosynthesis (delphinidin 3-O-glucoside)"
PWY-7602	"icosapentaenoate biosynthesis V (8-desaturase, lower eukaryotes)"
PWY-7980	"ATP biosynthesis"
PWY-6594	"superpathway of <i>Clostridium acetobutylicum</i> solventogenic fermentation"
PWY-5955	"versicolorin B biosynthesis"
PWY-5723	"Rubisco shunt"
PWY5F9-12	"biphenyl degradation"
PWY0-1590	"NADH to hydrogen peroxide electron transfer"
PWY-7262	"rose anthocyanin biosynthesis II (via cyanidin 3-<i>O</i>-&beta;-<i>D</i>-glucoside)"
PWY-5358	"tetrathionate reduction I (to thiosulfate)"
PWY-101	"photosynthesis light reactions"
PWY-7111	"pyruvate fermentation to isobutanol (engineered)"
PWY-6662	"superpathway of quinolone and alkylquinolone biosynthesis"
PWY-5725	"farnesene biosynthesis"
PARATHION-DEGRADATION-PWY	"parathion degradation"
PWY0-1591	"glycerol-3-phosphate to hydrogen peroxide electron transport"
PWY-5284	"shisonin biosynthesis"
PWY-7755	"iso-bile acids biosynthesis I"
PWY-7756	"iso-bile acids biosynthesis II"
PWY-5939	"pyruvate fermentation to (<i>R</i>)-acetoin II"
PWY-7153	"grixazone biosynthesis"
PWY-5741	"ethylmalonyl-CoA pathway"
PWY-6340	"5,5'-dehydrodivanillate degradation"
PWY-7449	"acylated cyanidin galactoside biosynthesis"
PWY-6692	"Fe(II) oxidation"
PWY-5938	"pyruvate fermentation to (<i>R</i>)-acetoin I"
PWY-7751	"shinorine biosynthesis"
PWY-6728	"methylaspartate cycle"
PWY-721	"3-methylquinoline degradation"
PWY-5934	"iron reduction and absorption"
PWY-5307	"gentiodelphin biosynthesis"
PWY3O-440	"pyruvate fermentation to acetoin III"
PWY-8047	"bryostatin biosynthesis"
PWY-6859	"<i>all-trans</i>-farnesol biosynthesis"
PWY-481	"ethylbenzene degradation (anaerobic)"
PWY-7458	"violdelphin biosynthesis"
PWY-7850	"taurine biosynthesis II"
PWY-6389	"pyruvate fermentation to (<i>S</i>)-acetoin"
PWY-5959	"aflatoxins B<sub>1</sub> and G<sub>1</sub> biosynthesis"
PWY-6871	"3-methylbutanol biosynthesis (engineered)"
PWY-6550	"carbazole degradation"
PWY-5313	"superpathway of anthocyanin biosynthesis (from cyanidin and cyanidin 3-<i>O</i>-glucoside)"
PWY-5331	"taurine biosynthesis I"
PWY-6795	"diacylglyceryl-<i>N,N,N</i>-trimethylhomoserine biosynthesis"
PWY-6873	"long chain fatty acid ester synthesis (engineered)"
PWY-7480	"2,3-dihydroxybenzoate degradation"
PWY-7679	"anthocyanidin acylglucoside and acylsambubioside biosynthesis"
PWY-7490	"patulin biosynthesis"
PWY-6876	"isopropanol biosynthesis (engineered)"
4-HYDROXYMANDELATE-DEGRADATION-PWY	"4-hydroxymandelate degradation"
PWY-7256	"cyanidin diglucoside biosynthesis (acyl-glucose dependent)"
PWY-7906	"rhizobitoxine biosynthesis"
PWY-6938	"NADH repair"
PWY-5266	"<I>p</I>-cymene degradation"
PWY-5139	"pelargonidin conjugates biosynthesis"
VALSYN-PWY	"L-valine biosynthesis"
ACETOACETATE-DEG-PWY	"acetoacetate degradation (to acetyl CoA)"
PWY-8083	"domoic acid biosynthesis"
PWY-6992	"1,5-anhydrofructose degradation"
PWY-6941	"styrene degradation"
PWY-7261	"anthocyanidin 3-malylglucoside biosynthesis (acyl-glucose dependent)"
LIPAS-PWY	"triacylglycerol degradation"
PWY-5975	"furaneol and mesifurane biosynthesis"
PWY-7007	"methyl ketone biosynthesis (engineered)"
PWY-7747	"diphenyl ethers degradation"
PWY-5268	"salvianin biosynthesis"
LIPASYN-PWY	"phospholipases"
PWY-6831	"pyrrolnitrin biosynthesis"
PWY-7102	"bisabolene biosynthesis (engineered)"
M-CRESOL-DEGRADATION-PWY	"<I>m</I>-cresol degradation"
PWY-7280	"ternatin C3 biosynthesis"
PWY-7294	"D-xylose degradation IV"
PWY-4261	"glycerol degradation I"
PWY-7531	"mannojirimycin biosynthesis"
PWY-7118	"chitin degradation to ethanol"
PWY-5489	"methyl parathion degradation"
PWY-5295	"ternatin C5 biosynthesis"
PWY-6760	"D-xylose degradation III"
PWY-6111	"mitochondrial L-carnitine shuttle"
PWY-7936	"psilocybin biosynthesis"
PWY-7126	"ethylene biosynthesis IV (engineered)"
PWY-7002	"4-hydroxyacetophenone degradation"
PWY-7452	"cyanidin dimalonylglucoside biosynthesis"
XYLCAT-PWY	"D-xylose degradation I"
PWY-6368	"3-phosphoinositide degradation"
PWY-6069	"indigo biosynthesis"
PWY-7178	"ethylene glycol biosynthesis (engineered)"
PWY-7951	"ellagic acid degradation to urolithins"
PWY-5377	"&alpha;-amyrin biosynthesis"
PWY-5312	"superpathway of anthocyanin biosynthesis (from pelargonidin 3-O-glucoside)"
PWY-7067	"betulinate biosynthesis"
PWY-5516	"D-xylose degradation II"
PWY-6483	"ceramide degradation"
PWY-6926	"pyrethrin I biosynthesis"
PWY-7813	"thiosulfate disproportionation III (quinone)"
P343-PWY	"resorcinol degradation"
PWY-5756	"saponin biosynthesis II"
PWY-7678	"anthocyanidin sambubioside biosynthesis"
PWY-7072	"hopanoid biosynthesis (bacteria)"
PWY-8020	"D-xylose degradation V"
PWY-7119	"sphingolipid recycling and degradation (yeast)"
PWY-7536	"2-amino-3-hydroxycyclopent-2-enone biosynthesis"
PWY0-1517	"sedoheptulose bisphosphate bypass"
PWY-6184	"methylsalicylate degradation"
PWY-5875	"staphyloxanthin biosynthesis"
PWY-7253	"apigeninidin 5-<i>O</i>-glucoside biosynthesis"
PWY-7474	"avenacin A-2 biosynthesis"
PWY-7366	"phosphatidylglycerol degradation"
PWY-7957	"hapalindole H biosynthesis"
RUMP-PWY	"formaldehyde oxidation I"
PWY-7009	"2,2'-dihydroxybiphenyl degradation"
PWY-6008	"baruol biosynthesis"
PWY-5125	"anthocyanin biosynthesis"
PWY-8028	"cycloartenol biosynthesis"
PWY-7367	"phosphatidylcholine resynthesis via glycerophosphocholine"
PWY-6644	"fluoroacetate and fluorothreonine biosynthesis"
DESULFONATION-PWY	"benzenesulfonate degradation"
PWY0-1277	"3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation"
PWY-6105	"botryococcenes and methylated squalene biosynthesis"
PWY-7260	"delphinidin diglucoside biosynthesis (acyl-glucose dependent)"
PWY-5203	"soybean saponin I biosynthesis"
PWY-7783	"plasmalogen degradation"
PWY-7040	"violacein biosynthesis"
PWY-7521	"3-(4-sulfophenyl)butanoate degradation"
P662-PWY	"dibenzofuran degradation"
PWY-7066	"glycyrrhetinate biosynthesis"
PWY-5160	"rose anthocyanin biosynthesis I (via cyanidin 5-<i>O</i>-&beta;-<i>D</i>-glucoside)"
PWY-5672	"ginsenosides biosynthesis"
PWY-8056	"anandamide lipoxygenation"
PWY-7556	"(-)-microperfuranone biosynthesis"
PWY-5046	"2-oxoisovalerate decarboxylation to isobutanoyl-CoA"
PWY-6339	"syringate degradation"
PWY-6041	"4-sulfocatechol degradation"
PWY-7267	"anthocyanin biosynthesis (pelargonidin 3-<i>O</i>-glucoside)"
PWY-7069	"oleanolate biosynthesis"
PWY-5774	"saponin biosynthesis IV"
PWY3DJ-11470	"sphingosine and sphingosine-1-phosphate metabolism"
PWY-7960	"rhabduscin biosynthesis"
PWY-5084	"2-oxoglutarate decarboxylation to succinyl-CoA"
PWY-7081	"4-aminophenol degradation"
TOLSULFDEG-PWY	"4-toluenesulfonate degradation I"
PWY-5286	"anthocyanidin sophoroside metabolism"
PWY-7473	"avenacin A-1 biosynthesis"
PWY-6005	"marneral biosynthesis"
PWY6666-1	"anandamide degradation"
PWY-5954	"(1'<i>S</i>,5'<i>S</i>)-averufin biosynthesis"
PWY-5165	"4-toluenesulfonate degradation II"
PWY-2504	"superpathway of aromatic compound degradation via 3-oxoadipate"
PWY-7476	"superpathway of avenacin A biosynthesis"
PWY-7450	"anthocyanidin modification (<i>Arabidopsis</i>)"
PWY-6098	"diploterol biosynthesis"
SOPHOROSYLOXYDOCOSANOATE-DEG-PWY	"sophorosyloxydocosanoate deacetylation"
PWY-6661	"4-hydroxy-2(1<i>H</i>)-quinolone biosynthesis"
PWY0-1348	"NADH to dimethyl sulfoxide electron transfer"
PWY-6533	"aniline degradation"
PWY-2541	"phytosterol biosynthesis (plants)"
PWY-5310	"superpathway of anthocyanin biosynthesis (from delphinidin 3-<i>O</i>-glucoside)"
PWY-6767	"4,4'-diapolycopenedioate biosynthesis"
ETHYL-PWY	"ethylene biosynthesis I (plants)"
PWY-5451	"acetone degradation I (to methylglyoxal)"
PWY-7708	"lyngbyatoxin biosynthesis"
PWY0-1356	"formate to dimethyl sulfoxide electron transfer"
PWY-7430	"indole degradation to anthranil and anthranilate"
PWY-7068	"ursolate biosynthesis"
PWY-7464	"cyanidin 3,7-diglucoside polyacylation biosynthesis"
PWY-5759	"saponin biosynthesis III"
PWY-7124	"ethylene biosynthesis V (engineered)"
PWY-6854	"ethylene biosynthesis III (microbes)"
PWY-8019	"2-hydroxyparaconate and itatartarate biosynthesis"
PWY0-1577	"hydrogen to dimethyl sulfoxide electron transfer"
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	"4-hydroxyphenylacetate degradation"
PWY-7251	"pentacyclic triterpene biosynthesis"
PWY-7252	"luteolinidin 5-<i>O</i>-glucoside biosynthesis"
PWY-5992	"thalianol and derivatives biosynthesis"
PWY-6853	"ethylene biosynthesis II (microbes)"
PWY66-161	"ethanol degradation III"
PWY-5957	"L-nicotianamine biosynthesis"
PWY0-1582	"glycerol-3-phosphate to fumarate electron transfer"
PWY-5163	"<I>p</I>-cumate degradation to 2-hydroxypentadienoate"
PWY-7475	"des-methyl avenacin A-1 biosynthesis"
PWY-6095	"dammara-20,24-diene biosynthesis"
PWY66-21	"ethanol degradation II"
ETOH-ACETYLCOA-ANA-PWY	"ethanol degradation I"
PWY-5533	"acetone degradation II (to acetoacetate)"
PWY-6703	"preQ<sub>0</sub> biosynthesis"
P224-PWY	"dissimilatory sulfate reduction II (to thiosulfate)"
PWY-681	"dibenzothiophene desulfurization"
