"ID"	"NAME"	"EQUATION"	"EC.NUMBER"	"GENE.ASSOCIATION"	"LOWER.BOUND"	"UPPER.BOUND"	"OBJECTIVE"	"COMPARTMENT"	"MIRIAM"	"SUBSYSTEM"	"REPLACEMENT.ID"	"NOTE"	"REFERENCE"	"CONFIDENCE.SCORE"
"CYSTEINE-DIOXYGENASE-RXN"	"cysteine dioxygenase"	"L-cysteine[s] + oxygen[s] => 3-sulfino-L-alanine[s] + H+[s]"	"ec-code/1.13.11.20"	"Nadsonia_fulvescens_var_elongata@Seq_2787"	0	1000	NA	NA	"rhea/20442;kegg.reaction/R00893"	"taurine biosynthesis I;L-cysteine degradation I"	NA	NA	""	2
"RXN-14458"	"O-ureido-L-serine synthase"	"O-acetyl-L-serine[s] + hydroxyurea[s] => acetate[s] + O-ureido-L-serine[s] + H+[s]"	"ec-code/2.6.99.3"	"Xylona_heveae@Seq_7129"	0	1000	NA	NA	"rhea/36264"	"D-cycloserine biosynthesis"	NA	NA	"pubmed/23529730;pubmed/Svensson82"	2
"CYSTEINE-AMINOTRANSFERASE-RXN"	"cysteine aminotransferase;cysteine transaminase"	"2-oxoglutarate[s] + L-cysteine[s] <=> 3-mercaptopyruvate[s] + L-glutamate[s]"	"ec-code/2.6.1.3"	"Xylona_heveae@Seq_6346 or Fusarium_graminearum@Seq_1402"	-1000	1000	NA	NA	"rhea/17444;kegg.reaction/R00895"	"L-cysteine degradation III;hydrogen sulfide biosynthesis I"	NA	NA	""	2
"RXN-14431"	"L-histidine Nalpha-methyltransferase"	"L-histidine[s] + 3 S-ADENOSYLMETHIONINE[s] => 3 S-adenosyl-L-homocysteine[s] + hercynine[s] + 3 H+[s]"	"ec-code/2.1.1.44"	"Aspergillus_nidulans@Seq_254 or Aspergillus_nidulans@Seq_3484 or yHMPu5000034655_Botryozyma_nematodophila@Seq_2554"	0	1000	NA	NA	"rhea/38472"	"ergothioneine biosynthesis II (fungi);ergothioneine biosynthesis I (bacteria)"	NA	NA	"pubmed/20420449"	2
"CYCLOHEXANONE-MONOOXYGENASE-RXN"	"cyclohexanone monooxygenase"	"cyclohexanone[s] + NADPH[s] + oxygen[s] + H+[s] => epsilon-caprolactone[s] + NADP+[s] + H2O[s]"	"ec-code/1.14.13.22"	"Stagonospora_nodorum@Seq_10364 or Fusarium_graminearum@Seq_5706"	0	1000	NA	NA	"rhea/24069;kegg.reaction/R02231"	"cyclohexanol degradation"	NA	NA	""	2
"RXN-14419"	"deoxybrevianamide F synthase;brevianamide F reverse prenyltransferase"	"brevianamide F[s] + dimethylallyl diphosphate[s] => deoxybrevianamide E[s] + diphosphate[s]"	"ec-code/2.5.1.109"	"Aspergillus_nidulans@Seq_8128 or Aspergillus_nidulans@Seq_1890"	0	1000	NA	NA	"rhea/35944"	"stephacidin A biosynthesis"	NA	NA	""	2
"RXN-9799"	"(24R,25R)-3alpha,7alpha,12alpha,24-tetrahydroxy-5beta-cholestanoyl-CoA dehydrogenase"	"(24R,25R)-3alpha,7alpha,12alpha,24-tetrahydroxy-5beta-cholestanoyl CoA[s] + NAD+[s] => 3alpha,7alpha,12alpha-trihydroxy-24-oxo-5-beta-cholestanoyl CoA[s] + NADH[s] + H+[s]"	"ec-code/1.1.1"	"Stagonospora_nodorum@Seq_9339"	0	1000	NA	NA	"kegg.reaction/R04812"	"bile acid biosynthesis, neutral pathway"	NA	NA	""	2
"RXN-14414"	"fumitremorgin C monooxygenase"	"fumitremorgin C[s] + 2 oxygen[s] + 2 Red-NADPH-Hemoprotein-Reductases[s] => 12alpha,13alpha-dihydroxyfumitremorgin C[s] + 2 Ox-NADPH-Hemoprotein-Reductases[s] + 2 H2O[s]"	"ec-code/1.14.14.119"	"Aspergillus_nidulans@Seq_5373"	0	1000	NA	NA	"rhea/35968"	"fumitremorgin A biosynthesis"	NA	NA	""	2
"RXN-14413"	"tryprostatin B 6-hydroxylase"	"tryprostatin B[s] + oxygen[s] + Red-NADPH-Hemoprotein-Reductases[s] => 6-hydroxytryprostatin B[s] + Ox-NADPH-Hemoprotein-Reductases[s] + H2O[s]"	"ec-code/1.14.14.118"	"Coccidioides_immitis@Seq_1149"	0	1000	NA	NA	"rhea/35956"	"fumitremorgin C biosynthesis"	NA	NA	""	2
"RXN-14368"	"D-fructuronate reductase"	"FRUCTURONATE[s] + NADPH[s] + H+[s] => D-mannonate[s] + NADP+[s]"	"ec-code/1.1.1"	"yHMPu5000035675_Kregervanrija_fluxuum@Seq_5793 or yHMPu5000041822_Dipodascus_geniculatus@Seq_921"	0	1000	NA	NA	""	""	NA	NA	"pubmed/22925190"	2
"RXN-14367"	"D-gluconate 5-dehydrogenase;5-dehydro-D-gluconate reductase"	"5-dehydro-D-gluconate[s] + NADPH[s] + H+[s] => D-gluconate[s] + NADP+[s]"	"ec-code/1.1.1"	"yHMPu5000035675_Kregervanrija_fluxuum@Seq_5793 or yHMPu5000041822_Dipodascus_geniculatus@Seq_921"	0	1000	NA	NA	""	""	NA	NA	"pubmed/7751271"	2
"COLCYD-RXN"	"4-carboxybenzyl alcohol dehydrogenase"	"4-carboxybenzyl alcohol[s] + NAD+[s] <=> 4-carboxybenzaldehyde[s] + NADH[s] + H+[s]"	"ec-code/1.1.1.M5"	"yHMPu5000035665_Middelhovenomyces_tepae@Seq_451"	-1000	1000	NA	NA	""	"4-toluenecarboxylate degradation"	NA	NA	""	2
"RXN-9740"	"dimethylsulfide monooxygenase"	"dimethyl sulfide[s] + NADH[s] + oxygen[s] + H+[s] => methanethiol[s] + formaldehyde[s] + NAD+[s] + H2O[s]"	"ec-code/1.14.13.131"	"yHMPu5000035261_Candida_ponderosae@Seq_6865 or Yarrowia_lipolytica@Seq_2752 or yHMPu5000035658_Starmera_amethionina@Seq_1758 or Alloascoidea_hylecoeti@Seq_5165 or Wickerhamomyces_ciferrii@Seq_2698 or yHMPu5000035650_Trigonopsis_variabilis@Seq_4442 or Candida_versatilis@Seq_4246 or yHMPu5000034967_Candida_freyschussii@Seq_5047 or Aspergillus_nidulans@Seq_1103"	0	1000	NA	NA	"kegg.reaction/R09786;rhea/31358"	"dimethyl sulfide degradation I"	NA	NA	"pubmed/21216999"	2
"CHOLINE-OXIDASEII-RXN"	"betaine aldehyde oxidase"	"betaine aldehyde[s] + oxygen[s] + H2O[s] => glycine betaine[s] + hydrogen peroxide[s] + H+[s]"	""	"Candida_versatilis@Seq_715 or Fusarium_graminearum@Seq_1051"	0	1000	NA	NA	"kegg.reaction/R08211;rhea/20372"	"choline degradation II"	NA	NA	""	2
"CHOLINE-OXIDASE-RXN"	"choline oxidase"	"choline[s] + oxygen[s] => betaine aldehyde[s] + hydrogen peroxide[s]"	""	"Candida_versatilis@Seq_715 or Fusarium_graminearum@Seq_1051"	0	1000	NA	NA	"rhea/13506;kegg.reaction/R01022"	"choline degradation II"	NA	NA	""	2
"CHLOROGENATE-HYDROLASE-RXN"	"chlorogenic acid esterase"	"trans-5-O-caffeoyl-D-quinate[s] + H2O[s] => trans-caffeate[s] + H+[s] + L-quinate[s]"	"ec-code/3.1.1.42"	"Fusarium_graminearum@Seq_12694 or Fusarium_graminearum@Seq_4732 or Stagonospora_nodorum@Seq_12069"	0	1000	NA	NA	"rhea/20689;kegg.reaction/R02997"	"chlorogenic acid degradation"	NA	NA	""	2
"CHLORIDE-PEROXIDASE-RXN"	"chloride peroxygenase"	"chloride[s] + hydrogen peroxide[s] + H+[s] + RH-Group[s] => Chlorides[s] + 2 H2O[s]"	"ec-code/1.11.1.10"	"Stagonospora_nodorum@Seq_11221"	0	1000	NA	NA	"kegg.reaction/R00052"	""	NA	NA	""	2
"RXN-969"	"glycolate oxidase"	"glycolate[s] + oxygen[s] => glyoxylate[s] + hydrogen peroxide[s]"	"ec-code/1.1.3.15"	"yHMPu5000034605_Spencermartinsiella_europaea@Seq_3696 or Aspergillus_nidulans@Seq_1060 or Xylona_heveae@Seq_6639 or yHMPu5000034667_Blastobotrys_serpentis@Seq_5053 or yHMPu5000035665_Middelhovenomyces_tepae@Seq_477 or yHMPu5000035650_Trigonopsis_variabilis@Seq_3837"	0	1000	NA	NA	"rhea/25312;kegg.reaction/R00475"	"photorespiration"	NA	NA	""	2
"RXN-9669"	"oleoyl-lipid 12-desaturase;fatty acid desaturase"	"2 FERROCYTOCHROME-B5[s] + oxygen[s] + Oleoyl-lipid[s] + 2 H+[s] => 2 FERRICYTOCHROME-B5[s] + Linoleoyl-groups[s] + 2 H2O[s]"	"ec-code/1.14.19.22"	"yHMPu5000034952_Citeromyces_siamensis@Seq_12454 or yHMPu5000034749_Lipomyces_mesembrius@Seq_6238 or Ascoidea_asiatica@Seq_7526 or Sclerotinia_sclerotiorum@Seq_1922 or Stagonospora_nodorum@Seq_7496 or yHMPu5000034952_Citeromyces_siamensis@Seq_6479 or yHMPu5000034886_Ogataea_trehalophila@Seq_1351 or Ascoidea_asiatica@Seq_5152 or Saitoella_complicata@Seq_6491"	0	1000	NA	NA	"rhea/46333"	"linoleate biosynthesis I (plants)"	NA	NA	""	2
"RXN-14172"	"hexanoyl-CoA synthetase;hexanoate-CoA ligase"	"ATP[s] + coenzyme A[s] + hexanoate[s] => AMP[s] + hexanoyl-CoA[s] + diphosphate[s]"	"ec-code/6.2.1.2"	"Geotrichum_candidum@Seq_2298"	0	1000	NA	NA	""	"cannabinoid biosynthesis"	NA	NA	"pubmed/22353623"	2
"CELLOBIOSE-DEHYDROGENASE-ACCEPTOR-RXN"	"cellobiose dehydrogenase"	"Acceptor[s] + beta-D-cellobiose[s] <=> cellobiono-1,5-lactone[s] + Donor-H2[s]"	"ec-code/1.1.99.18"	"Stagonospora_nodorum@Seq_7363"	-1000	1000	NA	NA	"rhea/23484;kegg.reaction/R01443"	""	NA	NA	""	2
"RXN-9615"	"ammonium transporter"	" => "	""	"yHMPu5000034605_Spencermartinsiella_europaea@Seq_1557"	0	1000	NA	NA	"rhea/28747"	""	NA	NA	""	2
"CARNDETRU-RXN"	"crotonobetainyl-CoA hydratase"	"L-carnitinyl-CoA[s] <=> crotonobetainyl-CoA[s] + H2O[s]"	"ec-code/4.2.1.149"	"Coccidioides_immitis@Seq_5473"	-1000	1000	NA	NA	"rhea/28341"	"L-carnitine degradation I"	NA	NA	""	2
"CARBOXYLESTERASE-RXN"	"carboxylesterase;carboxylic ester hydrolase"	"Carboxylic-esters[s] + H2O[s] => Alcohols[s] + Carboxylates[s] + H+[s]"	"ec-code/3.1.1.1"	"yHMPu5000035691_Candida_salmanticensis@Seq_1481 or Coccidioides_immitis@Seq_9066"	0	1000	NA	NA	"rhea/21165;kegg.reaction/R00630"	""	NA	NA	""	2
"CARBOXYCYCLOHEXADIENYL-DEHYDRATASE-RXN"	"arogenate dehydratase"	"L-arogenate[s] + H+[s] => CO2[s] + L-phenylalanine[s] + H2O[s]"	"ec-code/4.2.1.91"	"Stagonospora_nodorum@Seq_11969"	0	1000	NA	NA	"rhea/12537;kegg.reaction/R00691"	"L-phenylalanine biosynthesis II"	NA	NA	""	2
"RXN-1404"	"indole-3-acetonitrile nitrilase;(indole-3-yl)acetonitrilase"	"(indole-3-yl)acetonitrile[s] + 2 H2O[s] => ammonium[s] + (indol-3-yl)acetate[s]"	"ec-code/3.5.5.1"	"Botrytis_cinerea@Seq_12593 or Fusarium_graminearum@Seq_7091"	0	1000	NA	NA	"rhea/45777;kegg.reaction/R03093"	"indole-3-acetate biosynthesis II;indole glucosinolate activation (herbivore attack);indole-3-acetate biosynthesis V (bacteria and fungi)"	NA	NA	""	2
"BETAGALACTOSID-RXN"	"lactose beta-galactosidase;lactose galactohydrolase;lactase"	"CPD-15972[s] + H2O[s] => beta-D-galactopyranose[s] + Glucopyranose[s]"	"ec-code/3.2.1.108"	"yHMPu5000034673_Blastobotrys_nivea@Seq_6825 or Botrytis_cinerea@Seq_200"	0	1000	NA	NA	"kegg.reaction/R01100;rhea/10076;rhea/28659"	"lactose degradation III"	NA	NA	""	2
"RXN-9502"	"dihydro-O-methylsterigmatocystin monooxygenase"	"8-O-methyldihydrosterigmatocystin[s] + 2 oxygen[s] + 2 Red-NADPH-Hemoprotein-Reductases[s] => CO2[s] + aflatoxin B2[s] + methanol[s] + 2 Ox-NADPH-Hemoprotein-Reductases[s] + H2O[s]"	"ec-code/1.14.14.117"	"Arthrobotrys_oligospora@Seq_8175 or Fusarium_graminearum@Seq_5397"	0	1000	NA	NA	"rhea/35764;kegg.reaction/R10320"	"aflatoxins B2 and G2 biosynthesis"	NA	NA	""	2
"BETA-GLUCURONID-RXN"	"beta-glucuronidase;beta-D-glucuronidase"	"Beta-D-Glucuronides[s] + H2O[s] => Alcohols[s] + D-Glucopyranuronate[s]"	"ec-code/3.2.1.31"	"Aspergillus_nidulans@Seq_2545"	0	1000	NA	NA	"rhea/17634;kegg.reaction/R01478"	"beta-D-glucuronide and D-glucuronate degradation"	NA	NA	""	2
"RXN-9500"	"dihydrodemethylsterigmatocystin O-methyltransferase"	"dihydrodemethylsterigmatocystin[s] + S-ADENOSYLMETHIONINE[s] => S-adenosyl-L-homocysteine[s] + dihydrosterigmatocystin[s] + H+[s]"	"ec-code/2.1.1.109"	"Botrytis_cinerea@Seq_212 or Aspergillus_nidulans@Seq_6374 or Sclerotinia_sclerotiorum@Seq_8683 or Botrytis_cinerea@Seq_14873 or Botrytis_cinerea@Seq_10045 or Stagonospora_nodorum@Seq_4916"	0	1000	NA	NA	""	"aflatoxins B2 and G2 biosynthesis"	NA	NA	""	2
"RXN-9497"	"8-O-methylsterigmatocystin monooxygenase"	"8-O-methylsterigmatocystin[s] + 2 oxygen[s] + 2 Red-NADPH-Hemoprotein-Reductases[s] => CO2[s] + aflatoxin B1[s] + methanol[s] + 2 Ox-NADPH-Hemoprotein-Reductases[s] + H2O[s]"	"ec-code/1.14.14.117"	"Arthrobotrys_oligospora@Seq_8175 or Fusarium_graminearum@Seq_5397"	0	1000	NA	NA	"rhea/35760;kegg.reaction/R10319"	"aflatoxins B1 and G1 biosynthesis"	NA	NA	"pubmed/1902378;pubmed/11996570;pubmed/9835571"	2
"RXN-9495"	"versicolorin B dehydrogenase"	"versicolorin B[s] + NADP+[s] => versicolorin A[s] + NADPH[s] + H+[s]"	"ec-code/1.3.1"	"Stagonospora_nodorum@Seq_11083"	0	1000	NA	NA	"rhea/35744"	"sterigmatocystin biosynthesis"	NA	NA	""	2
"RXN-9494"	"versiconal cyclase"	"versiconal[s] => versicolorin B[s] + H2O[s]"	"ec-code/4.2.1.143"	"Stagonospora_nodorum@Seq_8981 or Botrytis_cinerea@Seq_12408"	0	1000	NA	NA	"rhea/33860"	"versicolorin B biosynthesis"	NA	NA	""	2
"BENZYL-ALC-DEHYDROGENASE-RXN"	"benzyl alcohol dehydrogenase"	"benzyl alcohol[s] + NAD+[s] <=> benzaldehyde[s] + NADH[s] + H+[s]"	"ec-code/1.1.1.90"	"Aspergillus_nidulans@Seq_2958"	-1000	1000	NA	NA	"kegg.reaction/R01763"	"salicin biosynthesis;salicortin biosynthesis;toluene degradation to benzoate"	NA	NA	"pubmed/[8496150]"	2
"BENZOYLFORMATE-DECARBOXYLASE-RXN"	"benzoylformate carboxy-lyase"	"phenylglyoxylate[s] + H+[s] => benzaldehyde[s] + CO2[s]"	"ec-code/4.1.1.7"	"yHMPu5000034671_Blastobotrys_peoriensis@Seq_5222 or Candida_versatilis@Seq_2425"	0	1000	NA	NA	"rhea/23369;kegg.reaction/R01764"	"mandelate degradation I"	NA	NA	""	2
"RXN-9492"	"versiconal acetate synthase"	"versicolorone[s] + NADPH[s] + oxygen[s] + H+[s] => versiconol acetate[s] + NADP+[s] + H2O[s]"	""	"Stagonospora_nodorum@Seq_3250 or Stagonospora_nodorum@Seq_2438 or yHMPu5000035261_Candida_ponderosae@Seq_2354 or yHMPu5000035261_Candida_ponderosae@Seq_6344"	0	1000	NA	NA	"rhea/35708"	"versicolorin B biosynthesis"	NA	NA	""	2
"RXN-9487"	"versiconal hemiacetal acetate synthase"	"hydroxyversicolorone[s] + NADPH[s] + oxygen[s] + H+[s] => versiconal hemiacetal acetate[s] + NADP+[s] + H2O[s]"	""	"Stagonospora_nodorum@Seq_3250 or Stagonospora_nodorum@Seq_2438 or yHMPu5000035261_Candida_ponderosae@Seq_2354 or yHMPu5000035261_Candida_ponderosae@Seq_6344"	0	1000	NA	NA	"rhea/35704"	"versicolorin B biosynthesis"	NA	NA	""	2
"RXN-9486"	"averufin monooxygenase"	"(1'S,5'S)-averufin[s] + oxygen[s] + Red-NADPH-Hemoprotein-Reductases[s] => hydroxyversicolorone[s] + Ox-NADPH-Hemoprotein-Reductases[s] + H2O[s]"	"ec-code/1.14.14"	"Aspergillus_nidulans@Seq_1570"	0	1000	NA	NA	"rhea/26294"	"versicolorin B biosynthesis"	NA	NA	""	2
"RXN-9484"	"(1'S,5'R)-hydroxyaverantin dehydrogenase"	"(1'S,5'R)-hydroxyaverantin[s] + NAD+[s] => 5'-oxoaverantin[s] + NADH[s] + H+[s]"	"ec-code/1.1.1.352"	"Stagonospora_nodorum@Seq_2064"	0	1000	NA	NA	"rhea/35480"	"(1'S,5'S)-averufin biosynthesis"	NA	NA	""	2
"RXN-9483"	"(1'S,5'S)-hydroxyaverantin dehydrogenase"	"(1'S,5'S)-hydroxyaverantin[s] + NAD+[s] => 5'-oxoaverantin[s] + NADH[s] + H+[s]"	"ec-code/1.1.1.352"	"Stagonospora_nodorum@Seq_2064"	0	1000	NA	NA	"rhea/35476"	"(1'S,5'S)-averufin biosynthesis"	NA	NA	""	2
"BADH-RXN"	"betaine aldehyde dehydrogenase"	"betaine aldehyde[s] + NAD+[s] + H2O[s] <=> glycine betaine[s] + NADH[s] + 2 H+[s]"	"ec-code/1.2.1.8"	"Xylona_heveae@Seq_242 or Schizosaccharomyces_pombe@Seq_1059 or Botrytis_cinerea@Seq_11849"	-1000	1000	NA	NA	"rhea/30070;rhea/15305;kegg.reaction/R02565"	"choline degradation IV;glycine betaine biosynthesis III (plants);choline degradation I;glycine betaine biosynthesis II (Gram-positive bacteria);glycine betaine biosynthesis I (Gram-negative bacteria)"	NA	NA	""	2
"RXN-13927"	"L-2-hydroxycarboxylate dehydrogenase (NAD+)"	"L-2-hydroxyacids[s] + NAD+[s] <=> 2-Oxo-carboxylates[s] + NADH[s] + H+[s]"	"ec-code/1.1.1.337"	"Neurospora_crassa@Seq_1783"	-1000	1000	NA	NA	"kegg.reaction/R10189;rhea/34558"	""	NA	NA	""	2
"ATP-CITRATE-PRO-S--LYASE-RXN"	"ATP-citrate lyase;ATP-citrate synthase"	"ATP[s] + citrate[s] + coenzyme A[s] => acetyl-CoA[s] + ADP[s] + oxaloacetate[s] + phosphate[s]"	"ec-code/2.3.3.8"	"yHMPu5000034673_Blastobotrys_nivea@Seq_8232 or yHMPu5000034655_Botryozyma_nematodophila@Seq_2153 or Geotrichum_candidum@Seq_849"	0	1000	NA	NA	"rhea/21162;kegg.reaction/R00352"	"reductive TCA cycle I;acetyl-CoA biosynthesis III (from citrate)"	NA	NA	""	2
"AROMATIC-L-AMINO-ACID-DECARBOXYLASE-RXN"	"tryptophan decarboxylase;L-tryptophan decarboxylase"	"H+[s] + L-tryptophan[s] => CO2[s] + tryptamine[s]"	"ec-code/4.1.1.105"	"Fusarium_graminearum@Seq_7817"	0	1000	NA	NA	"rhea/30340;kegg.reaction/R00685"	"indole-3-acetate biosynthesis II;secologanin and strictosidine biosynthesis;psilocybin biosynthesis;L-tryptophan degradation X (mammalian, via tryptamine);beta-carboline biosynthesis;hydroxycinnamic acid serotonin amides biosynthesis;L-tryptophan degradation VI (via tryptamine)"	NA	NA	""	2
"ARISTOLOCHENE-SYNTHASE-RXN"	"aristolochene synthase"	"(2E,6E)-farnesyl diphosphate[s] => aristolochene[s] + diphosphate[s]"	"ec-code/4.2.3.9"	"Stagonospora_nodorum@Seq_5409"	0	1000	NA	NA	"rhea/19826;kegg.reaction/R02307"	""	NA	NA	""	2
"RXN-13791"	"6-O-methyl-deacetylisoipecoside beta-glucosidase"	"6-O-methyl-N-deacetylisoipecoside[s] + H2O[s] => 6-O-methyl-N-deacetylisoipecoside aglycon[s] + Glucopyranose[s]"	"ec-code/3.2.1"	"yHMPu5000034673_Blastobotrys_nivea@Seq_4688"	0	1000	NA	NA	""	"emetine biosynthesis"	NA	NA	""	2
"RXN-13788"	"rutin alpha-L-rhamnosidase"	"rutin[s] + H2O[s] => beta-L-rhamnopyranose[s] + quercetin-3-glucoside[s] + H+[s]"	"ec-code/3.2.1.40"	"Stagonospora_nodorum@Seq_5888"	0	1000	NA	NA	""	"rutin degradation (plants)"	NA	NA	"pubmed/SUZUKI02A"	2
"AMINOBUTDEHYDROG-RXN"	"4-aminobutyraldehyde dehydrogenase;4-trimethylaminobutyraldehyde dehydrogenase;gamma-aminobutyraldehyde dehydrogenase"	"4-aminobutanal[s] + NAD+[s] + H2O[s] => 4-aminobutanoate[s] + NADH[s] + 2 H+[s]"	"ec-code/1.2.1.19"	"Schizosaccharomyces_pombe@Seq_1059"	0	1000	NA	NA	"rhea/19106;kegg.reaction/R02549"	"putrescine degradation IV;putrescine degradation V;putrescine degradation I"	NA	NA	""	2
"RXN-13697"	"aspartate aminotransferase;aspartate transaminase"	"2-oxoglutarate[s] + L-aspartate[s] <=> L-glutamate[s] + oxaloacetate[s]"	"ec-code/2.6.1.1"	"yHMPu5000034594_Starmera_quercuum@Seq_2191 or Xylona_heveae@Seq_4067 or Saccharomyces_cerevisiae@YKL106W or yHMPu5000035261_Candida_ponderosae@Seq_4094"	-1000	1000	NA	NA	""	"C4 photosynthetic carbon assimilation cycle, PEPCK type;C4 photosynthetic carbon assimilation cycle, NAD-ME type"	NA	NA	""	2
"ALPHAGALACTOSID-RXN"	"alpha-galactosidase;melibiose alpha-galactosidase"	"melibiose[s] + H2O[s] => D-galactopyranose[s] + Glucopyranose[s]"	"ec-code/3.2.1.22"	"Aspergillus_nidulans@Seq_5582"	0	1000	NA	NA	"kegg.reaction/R01101;rhea/28663"	"melibiose degradation"	NA	NA	"pubmed/5418105;pubmed/976079"	2
"RXN-13640"	"ketoisocaproate dioxygenase"	"4-methyl-2-oxopentanoate[s] + oxygen[s] => CO2[s] + 3-hydroxy-3-methylbutanoate[s]"	"ec-code/1.13.11"	"yHMPu5000035261_Candida_ponderosae@Seq_4523 or Coccidioides_immitis@Seq_1519 or yHMPu5000034952_Citeromyces_siamensis@Seq_4669"	0	1000	NA	NA	""	""	NA	NA	"pubmed/10989443"	2
"ALLYL-ALCOHOL-DEHYDROGENASE-RXN"	"acrolein aldehyde reductase"	"acrolein[s] + NADPH[s] + H+[s] => allyl alcohol[s] + NADP+[s]"	"ec-code/1.1.1.54"	"Coccidioides_immitis@Seq_4320"	0	1000	NA	NA	"rhea/12168;kegg.reaction/R03572"	"detoxification of reactive carbonyls in chloroplasts"	NA	NA	""	2
"RXN-9311"	"1,4-dihydroxy-2-naphthoyl-CoA hydrolase;1,4-dihydroxy-2-naphthoyl-CoA thiolesterase;1,4-dihydroxy-2-naphthoyl-CoA thioesterase"	"1,4-dihydroxy-2-naphthoyl-CoA[s] + H2O[s] => coenzyme A[s] + 1,4-dihydroxy-2-naphthoate[s] + H+[s]"	"ec-code/3.1.2.28"	"Candida_versatilis@Seq_4107"	0	1000	NA	NA	"rhea/26310;kegg.reaction/R07262"	"2-carboxy-1,4-naphthoquinol biosynthesis"	NA	NA	""	2
"RXN-9307"	"4,4'-diaponeurosporenal dehydrogenase"	"4,4'-diaponeurosporenal[s] + NAD+[s] + H2O[s] => 4,4'-diaponeurosporenoate[s] + NADH[s] + 2 H+[s]"	"ec-code/1.2.1.M7"	"yHMPu5000034761_Lipomyces_lipofer@Seq_1866"	0	1000	NA	NA	"rhea/42385"	"staphyloxanthin biosynthesis"	NA	NA	""	2
"ALCOHOL-OXIDASE-RXN"	"alcohol oxidase"	"oxygen[s] + Primary-Alcohols[s] => Aldehydes[s] + hydrogen peroxide[s]"	"ec-code/1.1.3.13"	"yHMPu5000026274_Komagataella_populi@Seq_2009"	0	1000	NA	NA	"rhea/19829;kegg.reaction/R00637"	""	NA	NA	""	2
"ALARACECAT-RXN"	"alanine racemase"	"L-alanine[s] <=> D-alanine[s]"	"ec-code/5.1.1.1"	"Schizosaccharomyces_pombe@Seq_5043"	-1000	1000	NA	NA	"rhea/20252;kegg.reaction/R00401"	"anaerobic energy metabolism (invertebrates, cytosol);L-alanine biosynthesis I;L-alanine degradation I"	NA	NA	""	2
"RXN-13425"	"cocaine:ethanol transesterase"	"cocaine[s] + ethanol[s] <=> cocaethylene[s] + methanol[s]"	""	"Coccidioides_immitis@Seq_9066"	-1000	1000	NA	NA	""	""	NA	NA	""	2
"RXN-13424"	"cocaine methylesterase"	"cocaine[s] + H2O[s] => benzoylecgonine[s] + methanol[s] + H+[s]"	"ec-code/3.1.1"	"Coccidioides_immitis@Seq_9066"	0	1000	NA	NA	""	""	NA	NA	"pubmed/7980644"	2
"RXN-13423"	"oleate ethyl ester synthase"	"ethanol[s] + oleate[s] + H+[s] => ethyl oleate[s] + H2O[s]"	""	"Coccidioides_immitis@Seq_9066"	0	1000	NA	NA	""	""	NA	NA	"pubmed/1429692"	2
"RXN-13394"	"4-hydroxybenzaldehyde dehydrogenase"	"4-hydroxybenzaldehyde[s] + NAD-P-OR-NOP[s] + H2O[s] => 4-hydroxybenzoate[s] + NADH-P-OR-NOP[s] + 2 H+[s]"	"ec-code/1.2.1.67"	"yHMPu5000035665_Middelhovenomyces_tepae@Seq_1701"	0	1000	NA	NA	""	"4-coumarate degradation (aerobic);4-coumarate degradation (anaerobic)"	NA	NA	"pubmed/19258534"	2
"RXN-9659"	"octanoyl-[acp] reductase;octanoyl-[acyl-carrier-protein] reductase"	"2-Octenoyl-ACPs[s] + NADH[s] + H+[s] => NAD+[s] + Octanoyl-ACPs[s]"	"ec-code/1.3.1.9"	"yHMPu5000034615_Saturnispora_zaruensis@Seq_593"	0	1000	NA	NA	""	"palmitate biosynthesis II (bacteria and plants)"	NA	NA	""	2
"RXN-16693"	"equisetin synthetase"	"ATP[s] + CPD-17994[s] + L-serine[s] => ACP[s] + AMP[s] + trichosetin[s] + diphosphate[s] + H+[s]"	"ec-code/6.3.2"	"Botrytis_cinerea@Seq_8147"	0	1000	NA	NA	""	"equisetin biosynthesis"	NA	NA	"pubmed/23614392"	2
"ACONITATE-DECARBOXYLASE-RXN"	"cis-aconitate decarboxylase"	"cis-aconitate[s] + H+[s] => CO2[s] + itaconate[s]"	"ec-code/4.1.1.6"	"Fusarium_graminearum@Seq_4719"	0	1000	NA	NA	"rhea/15254;kegg.reaction/R02243"	"itaconate biosynthesis I"	NA	NA	""	2
"ACETOLACTATE-DECARBOXYLASE-RXN"	"alpha-acetolactate decarboxylase"	"(S)-2-acetolactate[s] + H+[s] => CO2[s] + (R)-acetoin[s]"	"ec-code/4.1.1.5"	"Candida_versatilis@Seq_1097"	0	1000	NA	NA	"rhea/21581;kegg.reaction/R02948"	"pyruvate fermentation to (R)-acetoin II"	NA	NA	""	2
"ACETOINDEHYDROG-RXN"	"diacetyl reductase"	"diacetyl[s] + NADH[s] + H+[s] => ACETOIN[s] + NAD+[s]"	"ec-code/1.1.1"	"yHMPu5000035688_Cyberlindnera_xylosilytica@Seq_2645 or yHMPu5000034918_Nakazawaea_holstii@Seq_2751 or yHMPu5000034669_Blastobotrys_raffinofermentans@Seq_2298 or yHMPu5000041678_Debaryomyces_prosopidis@Seq_3660"	0	1000	NA	NA	"kegg.reaction/R02343"	""	NA	NA	""	2
