"Query.ID"	"Predicted.EC.number"
"Fusarium_graminearum@Seq_9384"	"1.2.1.47"
"Meyerozyma_guilliermondii@Seq_2291"	"1.2.1.47"
"Metschnikowia_cerradonensis@Seq_5499"	"1.1.1.168"
"yHMPu5000034933_Kuraishia_molischiana@Seq_4868"	"1.1.1.168"
"Aspergillus_nidulans@Seq_10124"	"1.5.3.19"
"Neurospora_crassa@Seq_5424"	"2.7.7.48"
"Candida_sojae@Seq_554"	"1.6.5.2"
"yHMPu5000035645_Yarrowia_divulgata@Seq_389"	"1.6.5.3"
"yHMPu5000034611_Saturnispora_mendoncae@Seq_1097"	"1.6.5.3"
"Metschnikowia_hamakuensis@Seq_2035"	"1.6.99.3"
"Metschnikowia_hamakuensis@Seq_2035"	"1.6.5.3"
"Ascoidea_rubescens@Seq_2675"	"6.3.4.19"
"Aspergillus_nidulans@Seq_933"	"3.2.1.55"
"Arthrobotrys_oligospora@Seq_7407"	"3.4.14.5"
"Arthrobotrys_oligospora@Seq_1193"	"3.2.1.4"
"yHMPu5000035673_Candida_orba@Seq_2042"	"1.6.5.3"
"yHMPu5000034761_Lipomyces_lipofer@Seq_2087"	"3.1.1.1"
"Xylona_heveae@Seq_413"	"1.6.5.3"
"yHMPu5000034884_Peterozyma_toletana@Seq_353"	"1.6.5.3"
"Starmerella_bombicola_JCM9596@Seq_773"	"1.6.5.3"
"Aspergillus_nidulans@Seq_6103"	"4.2.1.40"
"yHMPu5000035645_Yarrowia_divulgata@Seq_2307"	"1.6.5.2"
"yHMPu5000034866_Zygosaccharomyces_bisporus@Seq_2599"	"1.6.5.2"
"Botrytis_cinerea@Seq_1438"	"1.6.5.11"
"Arthrobotrys_oligospora@Seq_10986"	"4.2.2.2"
"Aspergillus_nidulans@Seq_4553"	"1.21.3.1"
"Aspergillus_nidulans@Seq_6203"	"3.2.1.99"
"Arthrobotrys_oligospora@Seq_3645"	"1.3.1.98"
"yHMPu5000034952_Citeromyces_siamensis@Seq_6608"	"2.1.1.166"
"yHMPu5000034952_Citeromyces_siamensis@Seq_6608"	"2.1.1.144"
"yHMPu5000041822_Dipodascus_geniculatus@Seq_185"	"2.3.1.108"
"Saitoella_complicata@Seq_3945"	"6.2.1.4"
"yHAB160_Kazachstania_kunashirensis@Seq_2151"	"3.2.1.17"
"Arthrobotrys_oligospora@Seq_2736"	"3.1.1.4"
"Stagonospora_nodorum@Seq_1643"	"1.14.13.22"
"yHMPu5000035011_Candida_pyralidae@Seq_2509"	"3.4.23.24"
"yHMPu5000034952_Citeromyces_siamensis@Seq_7753"	"1.6.5.3"
"Arthrobotrys_oligospora@Seq_8240"	"3.1.1.72"
"Lachancea_cidri@Seq_4661"	"3.5.99.7"
"Aspergillus_nidulans@Seq_5838"	"3.2.1.177"
"Aspergillus_nidulans@Seq_510"	"3.2.1.99"
"Alloascoidea_hylecoeti@Seq_1464"	"5.4.99.18"
"yHMPu5000034654_Aciculoconidium_aculeatum@Seq_126"	"3.1.21.4"
"yHMPu5000035658_Starmera_amethionina@Seq_2597"	"3.5.3.11"
"Botrytis_cinerea@Seq_4830"	"1.10.3.2"
"Arthrobotrys_oligospora@Seq_723"	"3.2.1.18"
"yHMPu5000034671_Blastobotrys_peoriensis@Seq_23"	"3.2.1.22"
"Spathaspora_girioi@Seq_2404"	"1.6.5.3"
"Lipomyces_starkeyi@Seq_7530"	"2.1.1.77"
"Aspergillus_nidulans@Seq_1237"	"3.2.1.99"
"Saitoella_complicata@Seq_1774"	"3.2.1.4"
"yHMPu5000034655_Botryozyma_nematodophila@Seq_949"	"3.6.3.28"
"Sclerotinia_sclerotiorum@Seq_455"	"3.2.1.8"
"yHMPu5000034604_Sporopachydermia_lactativora@Seq_4080"	"3.2.1.4"
"Sclerotinia_sclerotiorum@Seq_10819"	"4.2.2.10"
"Nakaseomyces_nivariensis@Seq_5170"	"1.11.1.12"
"yHMPu5000034671_Blastobotrys_peoriensis@Seq_4464"	"3.2.1.22"
"yHMPu5000034947_Ambrosiozyma_philentoma@Seq_3418"	"3.2.1.4"
"Candida_succiphila@Seq_2256"	"2.3.1.129"
"Spathaspora_hagerdaliae@Seq_3263"	"1.6.5.3"
"Lipomyces_starkeyi@Seq_6666"	"1.6.5.2"
"yHMPu5000034655_Botryozyma_nematodophila@Seq_6236"	"1.6.5.3"
"yHMPu5000035046_Barnettozyma_populi@Seq_5310"	"1.6.5.3"
"Schizosaccharomyces_pombe@Seq_1281"	"2.3.2.15"
"yHAB159_Kazachstania_solicola@Seq_1179"	"2.1.1.197"
"yHMPu5000035675_Kregervanrija_fluxuum@Seq_5169"	"2.7.11.27"
"Neurospora_crassa@Seq_3583"	"5.5.1.5"
"Lipomyces_starkeyi@Seq_3744"	"1.2.1.47"
"yHMPu5000034607_Saccharomycopsis_capsularis@Seq_1338"	"1.1.1.353"
"Metschnikowia_matae_maris@Seq_7029"	"1.4.7.1"
"yHAB158_Kazachstania_viticola@Seq_5305"	"1.2.1.47"
"yHMPu5000035011_Candida_pyralidae@Seq_1410"	"1.4.3.22"
"yHMPu5000034631_Martiniozyma_abiesophila@Seq_4708"	"1.1.1.289"
"yHMPu5000034952_Citeromyces_siamensis@Seq_946"	"1.2.1.47"
"Kazachstania_africana@Seq_4976"	"1.11.1.22"
"yHMPu5000034631_Martiniozyma_abiesophila@Seq_9182"	"1.6.2.6"
"yHMPu5000034952_Citeromyces_siamensis@Seq_4169"	"2.5.1.82"
"yHMPu5000035662_Meyerozyma_caribbica@Seq_3185"	"1.1.1.263"
"Metschnikowia_santaceciliae@Seq_2763"	"1.1.1.289"
"yHAB134_Kazachstania_turicensis@Seq_516"	"4.2.1.65"
"Aspergillus_nidulans@Seq_93"	"3.2.1.150"
"yHMPu5000034661_Dipodascus_albidus@Seq_6771"	"3.6.4.9"
"Sclerotinia_sclerotiorum@Seq_3655"	"4.1.1.46"
"yHMPu5000035279_Tortispora_starmeri@Seq_1821"	"1.1.1.96"
"yHMPu5000034952_Citeromyces_siamensis@Seq_10051"	"1.14.11.8"
"yHMPu5000034952_Citeromyces_siamensis@Seq_8038"	"1.7.1.2"
"yHMPu5000034615_Saturnispora_zaruensis@Seq_290"	"1.1.1.39"
"yHMPu5000035011_Candida_pyralidae@Seq_1966"	"1.14.19.18"
"yHMPu5000034952_Citeromyces_siamensis@Seq_8682"	"4.2.1.146"
"yHMPu5000035651_Torulaspora_microellipsoides@Seq_1666"	"1.1.1.289"
"yHMPu5000035018_Candida_canberraensis@Seq_585"	"1.2.1.47"
"Lachancea_dasiensis@Seq_2651"	"1.1.1.250"
"yHMPu5000034952_Citeromyces_siamensis@Seq_9279"	"1.2.1.47"
"yHMPu5000035639_Wickerhamomyces_canadensis@Seq_1825"	"1.6.5.7"
"yHMPu5000035675_Kregervanrija_fluxuum@Seq_2698"	"1.14.19.18"
"Spathaspora_arborariae@Seq_5108"	"1.1.1.289"
"yHMPu5000035018_Candida_canberraensis@Seq_1419"	"1.1.1.289"
"yHMPu5000034631_Martiniozyma_abiesophila@Seq_487"	"1.5.3.7"
"yHMPu5000034615_Saturnispora_zaruensis@Seq_593"	"1.3.1.39"
"yHMPu5000034631_Martiniozyma_abiesophila@Seq_8444"	"1.3.1.58"
"Metschnikowia_santaceciliae@Seq_3633"	"1.6.5.3"
"Aspergillus_nidulans@Seq_6498"	"3.2.1.96"
"Schizosaccharomyces_pombe@Seq_4906"	"1.1.1.6"
"Arthrobotrys_oligospora@Seq_2712"	"3.2.1.4"
"yHMPu5000034667_Blastobotrys_serpentis@Seq_5875"	"2.1.1.197"
"yHMPu5000034674_Blastobotrys_muscicola@Seq_2313"	"2.7.7.48"
"Sclerotinia_sclerotiorum@Seq_4334"	"3.5.1.10"
"yHMPu5000034862_Zygotorulaspora_florentina@Seq_718"	"2.1.1.79"
"Saitoella_complicata@Seq_6491"	"1.14.19.6"
"Lipomyces_starkeyi@Seq_8757"	"1.3.5.2"
"yHMPu5000035629_Yueomyces_sinensis@Seq_1631"	"2.7.7.48"
"yHMPu5000034625_Pichia_kudriavzevii@Seq_2313"	"3.2.1.17"
"Yarrowia_lipolytica@Seq_2497"	"1.6.5.2"
"yHMPu5000034661_Dipodascus_albidus@Seq_333"	"1.6.5.3"
"Lodderomyces_elongisporus@Seq_3647"	"1.6.5.2"
"Botrytis_cinerea@Seq_1719"	"1.6.5.3"
"Arthrobotrys_oligospora@Seq_2104"	"3.4.21.97"
"Sclerotinia_sclerotiorum@Seq_13524"	"3.2.1.4"
"Aspergillus_nidulans@Seq_5826"	"4.2.2.10"
"yHMPu5000035688_Cyberlindnera_xylosilytica@Seq_297"	"1.6.5.3"
"yHMPu5000041743_Candida_hawaiiana@Seq_3893"	"1.6.5.2"
"yHMPu5000034681_Blastobotrys_americana@Seq_3236"	"3.2.1.17"
"yHMPu5000035031_Candida_kruisii@Seq_2668"	"3.1.1.53"
"Millerozyma_acaciae@Seq_2072"	"1.6.5.3"
"Coccidioides_immitis@Seq_5309"	"3.5.4.23"
"yHAB155_Kazachstania_spencerorum@Seq_6054"	"2.1.1.222"
"yHMPu5000035674_Kregervanrija_delftensis@Seq_4004"	"1.6.5.3"
"Ascoidea_asiatica@Seq_6236"	"3.2.1.4"
"Fusarium_graminearum@Seq_5989"	"2.8.1.12"
"yHMPu5000034998_Cephaloascus_albidus@Seq_1415"	"1.6.5.3"
"Schizosaccharomyces_pombe@Seq_1828"	"3.1.21.7"
"yHMPu5000034615_Saturnispora_zaruensis@Seq_1641"	"4.4.1.24"
"yHMPu5000035654_Tortispora_ganteri@Seq_4691"	"2.1.1.197"
"Metschnikowia_shivogae@Seq_2677"	"3.2.1.177"
"Coccidioides_immitis@Seq_1503"	"2.3.1.128"
"yHMPu5000041693_Debaryomyces_nepalensis@Seq_4871"	"1.6.5.3"
"yHAB160_Kazachstania_kunashirensis@Seq_3454"	"1.6.5.2"
"Lipomyces_starkeyi@Seq_2698"	"3.1.1.4"
"Aspergillus_nidulans@Seq_9295"	"3.2.1.171"
"yHMPu5000035243_Zygoascus_meyerae@Seq_1785"	"1.6.5.3"
"Arthrobotrys_oligospora@Seq_236"	"3.4.21.92"
"yHMPu5000034674_Blastobotrys_muscicola@Seq_1176"	"3.1.21.2"
"Saccharomycopsis_malanga@Seq_5788"	"1.6.5.3"
"Stagonospora_nodorum@Seq_11376"	"3.2.1.4"
"Sclerotinia_sclerotiorum@Seq_11968"	"3.2.1.1"
"yHMPu5000034761_Lipomyces_lipofer@Seq_6275"	"2.3.1.184"
"yHMPu5000034875_Tetrapisispora_fleetii@Seq_2125"	"1.11.1.7"
"Nakaseomyces_bracarensis@Seq_1255"	"1.6.5.3"
"Arthrobotrys_oligospora@Seq_8600"	"3.2.1.55"
"Aspergillus_nidulans@Seq_10025"	"3.2.1.89"
"Wickerhamiella_domercqiae@Seq_3378"	"1.6.5.3"
"Tetrapisispora_phaffii@Seq_4503"	"3.2.1.17"
"Metschnikowia_borealis@Seq_4474"	"3.2.1.73"
"Lipomyces_starkeyi@Seq_2577"	"5.4.2.12"
"Geotrichum_candidum@Seq_849"	"2.3.3.8"
"Babjeviella_inositovora@Seq_1219"	"1.13.11.24"
"Fusarium_graminearum@Seq_8254"	"3.5.2.7"
"yHMPu5000035296_Priceomyces_carsonii@Seq_1474"	"2.1.1.77"
"yHMPu5000035296_Priceomyces_carsonii@Seq_1474"	"2.1.1.197"
"Stagonospora_nodorum@Seq_7494"	"3.2.1.21"
"Ogataea_methanolica@Seq_3839"	"3.2.1.17"
"yHMPu5000034761_Lipomyces_lipofer@Seq_5810"	"4.2.1.104"
"Aspergillus_nidulans@Seq_4429"	"1.13.11.1"
"Metschnikowia_santaceciliae@Seq_5740"	"3.2.1.21"
"yHAB155_Kazachstania_spencerorum@Seq_4802"	"1.1.1.73"
"Stagonospora_nodorum@Seq_768"	"1.1.1.252"
"yHMPu5000034605_Spencermartinsiella_europaea@Seq_3484"	"1.1.1.173"
"yHMPu5000034615_Saturnispora_zaruensis@Seq_3252"	"5.3.3.17"
"yHMPu5000034631_Martiniozyma_abiesophila@Seq_6126"	"6.3.4.16"
"yHMPu5000035643_Yarrowia_bubula@Seq_6541"	"6.3.4.16"
"yHMPu5000035271_Wickerhamomyces_bovis@Seq_224"	"2.6.1.66"
"Candida_sojae@Seq_194"	"1.6.5.7"
"yHMPu5000034760_Lipomyces_kononenkoae@Seq_175"	"3.2.1.57"
"yHMPu5000035274_Wickerhamomyces_alni@Seq_1585"	"6.3.4.16"
"yHMPu5000035242_Zygoascus_ofunaensis@Seq_3702"	"1.2.1.47"
"Arthrobotrys_oligospora@Seq_2000"	"1.8.5.7"
"yHMPu5000034952_Citeromyces_siamensis@Seq_9059"	"6.2.1.9"
"yHMPu5000034655_Botryozyma_nematodophila@Seq_1173"	"3.4.19.14"
"Xylona_heveae@Seq_4257"	"3.5.3.10"
"yHMPu5000034952_Citeromyces_siamensis@Seq_2732"	"2.6.1.66"
"yHMPu5000035688_Cyberlindnera_xylosilytica@Seq_1619"	"1.1.1.353"
"yHMPu5000034660_Diddensiella_caesifluorescens@Seq_2784"	"1.2.1.78"
"yHMPu5000034902_Ogataea_minuta@Seq_552"	"1.1.1.39"
"yHMPu5000034952_Citeromyces_siamensis@Seq_11886"	"1.1.1.39"
"Stagonospora_nodorum@Seq_6510"	"5.1.1.17"
"yHMPu5000034963_Hanseniaspora_clermontiae@Seq_3065"	"1.3.1.92"
"Xylona_heveae@Seq_6655"	"4.3.2.9"
